class,seed,pretrain_seed,method,auroc,auprc
class_AED,42,0,finlayson_structure,0.4666666666666666,0.045661637989224194
class_AED,42,0,finlayson_expression,0.49444444444444446,0.056769787214504853
class_AED,42,0,finlayson_concat,0.4811111111111111,0.044853943337724536
class_AED,42,1,finlayson_structure,0.5888888888888888,0.05933358897718599
class_AED,42,1,finlayson_expression,0.6244444444444445,0.060518887319121015
class_AED,42,1,finlayson_concat,0.6188888888888888,0.06720828458895839
class_AED,42,2,finlayson_structure,0.6166666666666667,0.0608681819518434
class_AED,42,2,finlayson_expression,0.6255555555555555,0.05862408645427513
class_AED,42,2,finlayson_concat,0.6444444444444444,0.06884909256973976
class_AED,43,0,finlayson_structure,0.41888888888888887,0.04062528696446094
class_AED,43,0,finlayson_expression,0.38222222222222224,0.03396903786999987
class_AED,43,0,finlayson_concat,0.43222222222222223,0.04239380235609572
class_AED,43,1,finlayson_structure,0.5988888888888888,0.06994901843528956
class_AED,43,1,finlayson_expression,0.49333333333333335,0.041557223827359255
class_AED,43,1,finlayson_concat,0.5788888888888889,0.05542416072595538
class_AED,43,2,finlayson_structure,0.518888888888889,0.05492535698900787
class_AED,43,2,finlayson_expression,0.46555555555555556,0.03947065287942218
class_AED,43,2,finlayson_concat,0.5111111111111111,0.04843246558140286
class_AED,44,0,finlayson_structure,0.5744444444444444,0.05147180405801095
class_AED,44,0,finlayson_expression,0.508888888888889,0.0439457524826789
class_AED,44,0,finlayson_concat,0.5577777777777777,0.05375989020494083
class_AED,44,1,finlayson_structure,0.6,0.06250536182543509
class_AED,44,1,finlayson_expression,0.5277777777777778,0.045002853161740554
class_AED,44,1,finlayson_concat,0.5988888888888888,0.05779012701013622
class_AED,44,2,finlayson_structure,0.5855555555555556,0.06840717309509045
class_AED,44,2,finlayson_expression,0.55,0.05604961487314429
class_AED,44,2,finlayson_concat,0.5588888888888889,0.07349719377181689
class_AED,45,0,finlayson_structure,0.6266666666666667,0.06087431087431087
class_AED,45,0,finlayson_expression,0.49000000000000005,0.048328588116898274
class_AED,45,0,finlayson_concat,0.5522222222222222,0.0730167284652615
class_AED,45,1,finlayson_structure,0.7222222222222222,0.23877333634036713
class_AED,45,1,finlayson_expression,0.6188888888888888,0.06033933099919839
class_AED,45,1,finlayson_concat,0.7433333333333334,0.10794868186509053
class_AED,45,2,finlayson_structure,0.6833333333333333,0.10206532670145685
class_AED,45,2,finlayson_expression,0.5766666666666667,0.08437362342620872
class_AED,45,2,finlayson_concat,0.66,0.10102347422608861
class_AED,46,0,finlayson_structure,0.47,0.04546025227997337
class_AED,46,0,finlayson_expression,0.4488888888888889,0.048106301529363564
class_AED,46,0,finlayson_concat,0.4577777777777778,0.04224162621680494
class_AED,46,1,finlayson_structure,0.6422222222222222,0.06220173474846371
class_AED,46,1,finlayson_expression,0.508888888888889,0.04668663904759579
class_AED,46,1,finlayson_concat,0.6044444444444445,0.052743313442765984
class_AED,46,2,finlayson_structure,0.5088888888888888,0.04758159562243765
class_AED,46,2,finlayson_expression,0.4722222222222222,0.04144509675069947
class_AED,46,2,finlayson_concat,0.4888888888888889,0.04237139627523469
class_AED,47,0,finlayson_structure,0.4022222222222222,0.03696930880908504
class_AED,47,0,finlayson_expression,0.4111111111111111,0.044732753002331455
class_AED,47,0,finlayson_concat,0.3933333333333333,0.03684047652780831
class_AED,47,1,finlayson_structure,0.6211111111111112,0.0912670253854254
class_AED,47,1,finlayson_expression,0.4611111111111111,0.06080958740085074
class_AED,47,1,finlayson_concat,0.6066666666666667,0.0755039407634078
class_AED,47,2,finlayson_structure,0.5166666666666666,0.06577999546749547
class_AED,47,2,finlayson_expression,0.39444444444444443,0.050574659913146254
class_AED,47,2,finlayson_concat,0.4666666666666667,0.0672480773739355
class_AED,48,0,finlayson_structure,0.5888888888888888,0.05619546363946891
class_AED,48,0,finlayson_expression,0.6488888888888888,0.13502029844195743
class_AED,48,0,finlayson_concat,0.61,0.06801849681775754
class_AED,48,1,finlayson_structure,0.6233333333333333,0.09726660813579163
class_AED,48,1,finlayson_expression,0.6622222222222223,0.08250860702886688
class_AED,48,1,finlayson_concat,0.6577777777777778,0.09489581151666318
class_AED,48,2,finlayson_structure,0.6422222222222222,0.09698711811945951
class_AED,48,2,finlayson_expression,0.6033333333333333,0.24153347488543558
class_AED,48,2,finlayson_concat,0.6366666666666667,0.13887607490548667
class_AED,49,0,finlayson_structure,0.6444444444444444,0.11334922497397582
class_AED,49,0,finlayson_expression,0.4833333333333333,0.06821880794604387
class_AED,49,0,finlayson_concat,0.5666666666666667,0.14609762510104754
class_AED,49,1,finlayson_structure,0.6033333333333333,0.054561326910687456
class_AED,49,1,finlayson_expression,0.5644444444444445,0.12649475253306192
class_AED,49,1,finlayson_concat,0.6377777777777778,0.06578638242254126
class_AED,49,2,finlayson_structure,0.6755555555555555,0.07017029258461799
class_AED,49,2,finlayson_expression,0.5311111111111111,0.1014019653304751
