se,struct,expr_strongest,expr_exemplar
Abdominal discomfort,0.52796401832607,0.5111744328975305,0.5288859090401161
Abdominal distension,0.4953751832600294,0.5195788351326136,0.5266160202585632
Abdominal pain,0.556428404760053,0.5333540743045293,0.500479634958907
Abdominal pain upper,0.5298777918246945,0.4619749964882709,0.48813035538699245
Abnormal dreams,0.6117346159719041,0.5635974958008857,0.594632768361582
Abscess,0.6173360060828091,0.4586991083154766,0.6077970553673878
Accommodation disorder,0.7918453639383871,0.5135608577469042,0.6330413772274238
Acne,0.6584692028985508,0.444429347826087,0.6142663043478261
Acute coronary syndrome,0.5960248868230567,0.5125765608734597,0.45917156898346534
Affect lability,0.5435087272263983,0.4797744935660594,0.5484456618677538
Ageusia,0.558197463768116,0.4022192028985507,0.4469202898550725
Aggression,0.5850353399951255,0.43144040945649526,0.548476724348038
Agitation,0.673048963249603,0.5762632249983224,0.537544456125439
Agranulocytosis,0.6813687859120199,0.4624653965152255,0.5543303789517761
Akathisia,0.7971255859856896,0.5036392795460152,0.6284850727855908
Alanine aminotransferase increased,0.6286150854285317,0.511543269898597,0.5925823030976525
Albuminuria,0.6505435065272793,0.453788942632756,0.6367608051178031
Alopecia,0.5492341837519503,0.5687476651943657,0.48915551453622524
Altered state of consciousness,0.6542217612998013,0.5257108287961283,0.5779967159277504
Amblyopia,0.5943637479541735,0.4966755319148936,0.5643923895253683
Amenorrhoea,0.6806301961324698,0.5033760507096596,0.6143034311699049
Amnesia,0.5549433048796025,0.5480634475729392,0.6072748120779717
Amylase increased,0.6568750000000001,0.4642857142857143,0.6073214285714285
Anaemia,0.6299250664732898,0.45450150526292654,0.5339618080734831
Anaphylactic shock,0.5566561707338407,0.49783521385463136,0.5284483512638853
Anaphylactoid reaction,0.6033016686234745,0.44476464937560034,0.595972533532572
Angina pectoris,0.6557553866606467,0.501743296460732,0.5502295131311612
Angioedema,0.5616630503868324,0.5539264032261599,0.45602384553005904
Angiopathy,0.5398882113821138,0.47835827790096086,0.5253372135994087
Anorectal discomfort,0.48483277158413274,0.644715236366779,0.5429954195834414
Anorectal disorder,0.5465178571428572,0.3894642857142857,0.4558928571428571
Anxiety,0.5276388494550854,0.5196889946928167,0.4879332561644135
Apathy,0.47113249444855665,0.49062422896619784,0.5483592400690847
Aphasia,0.6397730076486554,0.5594004441154701,0.5059215396002961
Aphthous stomatitis,0.6590418353576248,0.47935222672064776,0.4920377867746289
Aplastic anaemia,0.6713039867109634,0.4594753599114064,0.5651993355481728
Apnoea,0.5419510721836303,0.4331017819389912,0.3678042887345213
Arrhythmia,0.6109404509977928,0.5511866566546066,0.5150977313582269
Arthralgia,0.6399735420571051,0.4720978943887113,0.5271304156101864
Arthritis,0.6298195242001641,0.5523848587835463,0.4953709129262862
Arthropathy,0.5876520359598095,0.47902344438568656,0.5657941124625419
Aspartate aminotransferase increased,0.6807032590051458,0.49185248713550606,0.5613779302458548
Asthenia,0.6979611190137507,0.5500237079184447,0.47908961593172117
Asthma,0.584395041845216,0.5232808949987058,0.4745333755140778
Ataxia,0.6694334175387946,0.5291110309154337,0.5426139781065801
Atrial fibrillation,0.5419996790242336,0.5582731503771465,0.4929545819290644
Atrioventricular block,0.6898286898286896,0.5179635179635179,0.5472305472305472
Back pain,0.6384184587813619,0.4900985663082438,0.5247759856630825
Balance disorder,0.5764446995790279,0.44737849215461156,0.539609644087256
Bladder pain,0.5496337542673428,0.520367240064963,0.47068376918232746
Blepharitis,0.5783507292458699,0.3837699592175296,0.5453791387295224
Blindness,0.6210217755443885,0.40385259631490783,0.48567839195979895
Blister,0.44902814041195244,0.5552074267478968,0.475137800986365
Blood alkaline phosphatase increased,0.6745735231918792,0.4897786550119836,0.5686239954885098
Blood bilirubin increased,0.6691929631160719,0.5481603968582058,0.615313949749667
Blood cholesterol increased,0.5163392857142857,0.4720535714285714,0.484375
Blood creatine phosphokinase increased,0.6862433862433863,0.6056613756613757,0.5268253968253969
Blood creatinine increased,0.6491411501120239,0.49072442120985804,0.5436594473487678
Blood disorder,0.5675223214285714,0.4847184065934066,0.47793612637362637
Blood glucose increased,0.5515873015873016,0.6498015873015873,0.505172902494331
Blood lactate dehydrogenase increased,0.6723373318793167,0.4015267175572519,0.5534714649218466
Blood pressure increased,0.6661455308884621,0.5006476973243401,0.5002010095144503
Blood triglycerides increased,0.5106419303437286,0.41270202595037564,0.4171409059867972
Blood urea increased,0.6154416354556804,0.4794397627965044,0.453144506866417
Blood uric acid increased,0.6800347294000909,0.47029395956505565,0.5039070575102328
Body temperature decreased,0.6611174894756984,0.5181783390738615,0.691542288557214
Body temperature increased,0.6427427259903891,0.5528247304372773,0.5157673273244554
Bone disorder,0.5771874238362174,0.5310748233000244,0.4668291494028759
Bone pain,0.6094655797101449,0.4670742753623188,0.45629528985507245
Bradycardia,0.6230178904301934,0.4406032875783765,0.5145616965647468
Breast disorder,0.5818206050912968,0.5406104224976676,0.40274556843929094
Breast enlargement,0.6451394029114236,0.45361460646434737,0.6373056994818653
Breast feeding,0.4989578163771712,0.4435732009925558,0.6066501240694789
Breast pain,0.6463572609103497,0.44601777817483357,0.5419216509581454
Breath odour,0.5020347394540943,0.5150372208436724,0.37062034739454097
Bronchitis,0.5281275593775594,0.6004299754299754,0.5051443488943489
Bronchospasm,0.5160975609756098,0.4854268292682926,0.4226829268292683
Bundle branch block,0.662217107786728,0.36371308016877635,0.6027617951668585
Burning sensation,0.6063003881755747,0.5770379217676918,0.5856972230516573
Bursitis,0.5240261024322721,0.5017467536747743,0.49766000922813264
Candida infection,0.699691785411176,0.49836958949390275,0.45571090364943945
Cardiac arrest,0.5757102815645305,0.5434450248439292,0.5351000127404765
Cardiac disorder,0.585793929382614,0.5147865189161905,0.44453621492646883
Cardiac failure,0.5704619271021292,0.5119692048598581,0.48866233610008414
Cardiac failure congestive,0.6925142339544512,0.4573628364389234,0.5537978778467909
Cardiomyopathy,0.6122137404580152,0.5148673209741913,0.4367139222101054
Cardiovascular disorder,0.5533769063180827,0.4462269756387403,0.4860863537334126
Cataract,0.6506463233735961,0.5139224411951684,0.6086458995549905
Cellulitis,0.6345138027651462,0.5532129897570163,0.5488953194616691
Cerebral haemorrhage,0.6128116609129267,0.5548906789413117,0.5413885692366704
Cerebral ischaemia,0.6126582278481013,0.43459915611814354,0.49566551591868047
Cerebrovascular accident,0.67318834250444,0.4860686522840423,0.5015285177744782
Cerebrovascular disorder,0.49468920291862933,0.3651057541331855,0.4980142237000092
Chest discomfort,0.5664322723908215,0.6007895386133728,0.5726622255119664
Chest pain,0.6248279478272268,0.5050359397872015,0.5263813331585503
Chills,0.630540293040293,0.5149496336996336,0.5326236263736264
Cholecystitis,0.5043934240362813,0.4236819727891156,0.4581916099773242
Cholelithiasis,0.5882731958762886,0.5412371134020618,0.476610824742268
Cholestasis,0.5819353518821604,0.5374386252045827,0.5230666939443536
Coagulopathy,0.5160856009070295,0.4848356009070295,0.4744189342403628
Colitis,0.5870122696966111,0.5101589931747348,0.47492799936876157
Coma,0.5761342708856521,0.48890842122886324,0.6106646576259837
Completed suicide,0.6683052877040399,0.46826747337240815,0.5847356147980085
Confusional state,0.5534372816212438,0.5378232005590496,0.4939945842068484
Conjunctivitis,0.6150690686238169,0.50376850273062,0.5420466058763931
Connective tissue disorder,0.545343137254902,0.4817354826546003,0.5567496229260935
Constipation,0.6828918607657415,0.4902813359343785,0.5895127741086329
Contusion,0.5207828518173345,0.5072227399813607,0.46794035414725077
Convulsion,0.5930119416187528,0.4488721804511278,0.5041353383458647
Coordination abnormal,0.649773720349563,0.4622347066167291,0.600109238451935
Coronary artery disease,0.5894909688013137,0.5033272837265578,0.42554662518364883
