se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain
Abdominal discomfort,129,0.24157303370786518,0.5390372284429132,0.549047755766102,0.5532969662168628,0.010010527323188745,0.01425973777394951
Abdominal distension,140,0.26217228464419473,0.5288433647570703,0.43063814358230607,0.4387055837563452,-0.09820522117476421,-0.09013778100072506
Abdominal pain,353,0.6610486891385767,0.611052853990265,0.4898502183337768,0.5145790618690622,-0.1212026356564882,-0.09647379212120277
Abdominal pain upper,131,0.24531835205992508,0.5366052317542098,0.5575928626901293,0.559979542742409,0.020987630935919488,0.0233743109881992
Abnormal dreams,93,0.17415730337078653,0.6219247555653085,0.5178114256455271,0.5516787360105333,-0.1041133299197814,-0.07024601955477516
Abscess,39,0.07303370786516854,0.5033929033929034,0.49427609427609426,0.519036519036519,-0.009116809116809177,0.015643615643615605
Accommodation disorder,43,0.08052434456928839,0.763842182541562,0.6705821058115853,0.7511012172595083,-0.09326007672997672,-0.012740965282053707
Acne,68,0.12734082397003746,0.6332365564251451,0.6274930573087603,0.6568732643271901,-0.0057434991163848315,0.023636707902044973
Acute coronary syndrome,166,0.31086142322097376,0.5958125982189628,0.4606796752226296,0.48497249869041387,-0.13513292299633323,-0.11084009952854895
Affect lability,106,0.19850187265917604,0.5244225004408394,0.5179642038441192,0.5179862458120261,-0.006458296596720148,-0.006436254628813254
Ageusia,69,0.12921348314606743,0.5592021193704222,0.5081813931743806,0.5423718248402681,-0.05102072619604159,-0.016830294530154055
Aggression,63,0.11797752808988764,0.6362349610757255,0.6101843426684191,0.6501870387220705,-0.02605061840730638,0.013952077646344985
Agitation,200,0.37453183520599254,0.6649775449101797,0.5919311377245509,0.6230389221556887,-0.07304640718562883,-0.041938622754491006
Agranulocytosis,170,0.31835205992509363,0.6904169360051714,0.5982223658694248,0.6466548157724629,-0.09219457013574661,-0.043762120232708535
Akathisia,43,0.08052434456928839,0.7977549377160991,0.7516695874579643,0.827357552219012,-0.04608535025813476,0.029602614502912905
Alanine aminotransferase increased,143,0.26779026217228463,0.6722944574606979,0.5386403877452471,0.5795789887861499,-0.1336540697154508,-0.09271546867454805
Albuminuria,54,0.10112359550561797,0.6331018518518519,0.5108024691358024,0.5753858024691357,-0.12229938271604945,-0.05771604938271613
Alopecia,217,0.40636704119850187,0.5545217985433718,0.49310209481167044,0.5049063076945441,-0.06141970373170136,-0.04961549084882766
Altered state of consciousness,34,0.06367041198501873,0.6040588235294118,0.4056470588235294,0.5628823529411764,-0.19841176470588234,-0.04117647058823537
Amblyopia,53,0.09925093632958802,0.5457576589652061,0.5262621111677716,0.5547012905503471,-0.019495547797434565,0.008943631585140999
Amenorrhoea,65,0.12172284644194757,0.6880268984746596,0.6890929965556831,0.7121207151057897,0.0010660980810235365,0.024093816631130083
Amnesia,103,0.19288389513108614,0.5817809114049513,0.46009506003198697,0.5102381006014461,-0.12168585137296428,-0.07154281080350511
Amylase increased,36,0.06741573033707865,0.6662204373047746,0.5900825524319501,0.6597501115573405,-0.07613788487282458,-0.006470325747434114
Anaemia,236,0.4419475655430712,0.6222557160732567,0.5131668752132863,0.5390029575702422,-0.10908884085997039,-0.0832527585030145
Anaphylactic shock,233,0.4363295880149813,0.5643420358461779,0.5037428885118276,0.5159910455848175,-0.060599147334350345,-0.04835099026136047
Anaphylactoid reaction,84,0.15730337078651685,0.583968253968254,0.5765873015873016,0.5906349206349206,-0.007380952380952377,0.006666666666666599
Angina pectoris,152,0.2846441947565543,0.6358156516946818,0.5487220997519977,0.5897113529898044,-0.08709355194268409,-0.04610429870487742
Angioedema,236,0.4419475655430712,0.5571465134796951,0.44333693550221814,0.45654646797861453,-0.11380957797747698,-0.10060004550108059
Angiopathy,209,0.3913857677902622,0.5366801619433199,0.5833934486566065,0.5836142804563857,0.04671328671328656,0.04693411851306584
Anorectal discomfort,34,0.06367041198501873,0.5409411764705883,0.4945294117647059,0.5701176470588235,-0.046411764705882375,0.029176470588235248
Anorectal disorder,30,0.056179775280898875,0.4851851851851852,0.5029761904761905,0.49933862433862436,0.017791005291005246,0.01415343915343914
Anxiety,250,0.4681647940074906,0.5732112676056338,0.5458732394366197,0.5550985915492956,-0.027338028169014095,-0.01811267605633815
Apathy,45,0.08426966292134831,0.586821177005226,0.4863440127243808,0.5326062258577595,-0.10047716428084513,-0.05421495114746644
Aphasia,47,0.08801498127340825,0.588317532439163,0.5535846913364498,0.5498711171304994,-0.03473284110271313,-0.03844641530866355
Aphthous stomatitis,39,0.07303370786516854,0.618026418026418,0.4306656306656307,0.5681947681947682,-0.18736078736078732,-0.04983164983164978
Aplastic anaemia,88,0.1647940074906367,0.6894873624133714,0.5954443538524257,0.662020994700367,-0.09404300856094572,-0.02746636771300437
Apnoea,50,0.09363295880149813,0.5498347107438017,0.5021900826446282,0.5455785123966943,-0.04764462809917358,-0.004256198347107443
Arrhythmia,183,0.34269662921348315,0.5502000529322935,0.5595099092366852,0.5704544393068982,0.00930985630439174,0.02025438637460475
Arrhythmia supraventricular,25,0.04681647940074907,0.5425540275049116,0.4361493123772103,0.5403536345776031,-0.10640471512770128,-0.0022003929273084477
Arthralgia,274,0.5131086142322098,0.6137282425603594,0.5341942728804042,0.5548568220101067,-0.07953396967995519,-0.05887142055025274
Arthritis,114,0.21348314606741572,0.5746449456975773,0.4643692564745196,0.47959482038429413,-0.1102756892230577,-0.09505012531328316
Arthropathy,67,0.1254681647940075,0.5605803956662085,0.5471891079932245,0.5616989996484387,-0.013391287672984031,0.0011186039822301819
Aspartate aminotransferase increased,135,0.25280898876404495,0.6655713357467743,0.5417061171447137,0.5922769887682169,-0.12386521860206057,-0.07329434697855741
Asthenia,399,0.7471910112359551,0.6631021999443052,0.4980042699340945,0.5537733221943748,-0.16509793001021067,-0.10932887774993039
Asthma,122,0.22846441947565543,0.5623706827948431,0.511658443418749,0.517348400445647,-0.05071223937609415,-0.04502228234919614
Ataxia,113,0.21161048689138576,0.6413091459441279,0.5459609442330734,0.5691884051878167,-0.09534820171105451,-0.07212074075631125
Atrial fibrillation,111,0.20786516853932585,0.5975762997039593,0.5188379869230934,0.542308265712521,-0.07873831278086596,-0.055268033991438315
Atrial flutter,27,0.05056179775280899,0.47118124041200965,0.2827817956023084,0.42260208926875603,-0.18839944480970128,-0.04857915114325362
Atrioventricular block,84,0.15730337078651685,0.6694179894179894,0.5948941798941798,0.6356878306878307,-0.07452380952380955,-0.03373015873015861
Azotaemia,25,0.04681647940074907,0.4906876227897839,0.6129666011787819,0.5402750491159136,0.12227897838899798,0.049587426326129724
Back pain,224,0.41947565543071164,0.6282834101382488,0.5491071428571429,0.582402073732719,-0.07917626728110594,-0.04588133640552983
Bacterial infection,25,0.04681647940074907,0.7981925343811395,0.5690373280943025,0.780589390962672,-0.22915520628683694,-0.01760314341846747
Balance disorder,35,0.06554307116104868,0.6270254795304895,0.3593472659604924,0.530604065273404,-0.2676782135699971,-0.0964214142570855
Bladder pain,96,0.1797752808988764,0.5746765601217656,0.536767503805175,0.5588850837138508,-0.037909056316590584,-0.015791476407914784
Blepharitis,44,0.08239700374531835,0.5532467532467532,0.4508812615955473,0.48752319109461967,-0.1023654916512059,-0.06572356215213354
Blindness,31,0.05805243445692884,0.5802603732444045,0.36195728852690306,0.472647983069326,-0.21830308471750143,-0.10761239017507851
Blister,52,0.09737827715355805,0.3688557293329078,0.43628311522502394,0.40799553143951484,0.06742738589211617,0.03913980210660706
Blood alkaline phosphatase increased,96,0.1797752808988764,0.6580336757990869,0.4798087899543379,0.5241390791476408,-0.178224885844749,-0.1338945966514461
Blood bilirubin increased,78,0.14606741573033707,0.7347756410256411,0.6489541160593792,0.7161493477282951,-0.08582152496626183,-0.018626293297345997
Blood cholesterol increased,31,0.05805243445692884,0.5432565894952863,0.47893285448598727,0.5036234207657282,-0.06432373500929905,-0.03963316872955813
Blood creatine phosphokinase increased,58,0.10861423220973783,0.6172124022022603,0.5065198493190379,0.5619385685308607,-0.11069255288322233,-0.0552738336713996
Blood creatinine increased,130,0.24344569288389514,0.6625095201827875,0.5578065498857578,0.603998476770754,-0.10470297029702968,-0.0585110434120335
Blood disorder,72,0.1348314606741573,0.4908910533910534,0.5008718133718133,0.49681337181337176,0.009980759980759923,0.0059223184223183845
Blood glucose increased,42,0.07865168539325842,0.5085656213704994,0.5984320557491289,0.5549748354626404,0.08986643437862951,0.04640921409214094
Blood lactate dehydrogenase increased,38,0.07116104868913857,0.634125636672326,0.5057831069609507,0.6312075551782682,-0.12834252971137527,-0.0029180814940578115
Blood potassium decreased,27,0.05056179775280899,0.6934034626342318,0.5587698151800716,0.7023157279567536,-0.13463364745416018,0.008912265322521762
Blood pressure increased,72,0.1348314606741573,0.6266534391534393,0.5528799903799904,0.6072029822029822,-0.07377344877344894,-0.019450456950457107
Blood triglycerides increased,58,0.10861423220973783,0.5257896261953058,0.5985221674876847,0.5923645320197044,0.07273254129237894,0.06657490582439862
Blood urea increased,83,0.15543071161048688,0.6518312718724121,0.5251516041995031,0.578420110597601,-0.12667966767290895,-0.07341116127481107
Blood uric acid increased,78,0.14606741573033707,0.6020017993702204,0.47860436347278457,0.5082658569500675,-0.12339743589743579,-0.09373594242015282
Body temperature decreased,27,0.05056179775280899,0.7098400175323253,0.4163927240850317,0.6506684198991891,-0.2934472934472936,-0.059171597633136175
Body temperature increased,321,0.601123595505618,0.6594854694104397,0.5479502142658652,0.5819402395682506,-0.11153525514457452,-0.07754522984218915
Bone disorder,65,0.12172284644194757,0.5755617516811546,0.5119567000164015,0.555683122847302,-0.06360505166475316,-0.019878628833852607
Bone pain,69,0.12921348314606743,0.563378525790868,0.5258532024310426,0.5315256350319464,-0.03752532335982539,-0.031852890758921615
Bradycardia,163,0.3052434456928839,0.6185405056802209,0.5646982951069072,0.5762737089279513,-0.05384221057331373,-0.04226679675226963
Breast disorder,150,0.2808988764044944,0.5828993055555556,0.5318229166666667,0.5569965277777778,-0.05107638888888888,-0.02590277777777783
Breast enlargement,52,0.09737827715355805,0.6964171720395788,0.5617219917012448,0.6444302585381424,-0.13469518033833394,-0.05198691350143636
Breast feeding,25,0.04681647940074907,0.5038113948919449,0.48031434184675836,0.4686836935166995,-0.023497053045186567,-0.03512770137524546
Breast pain,69,0.12921348314606743,0.6022128720585944,0.5258843696431355,0.5522829982858033,-0.07632850241545897,-0.04992987377279112
Breath odour,26,0.04868913857677903,0.48758328285887337,0.49030890369473046,0.46827680193821924,0.00272562083585709,-0.019306480920654123
Bronchitis,149,0.27902621722846443,0.5289113570992765,0.4838141724047765,0.4934367645777042,-0.045097184694500025,-0.03547459252157231
Bronchospasm,114,0.21348314606741572,0.5093567251461989,0.5623224728487886,0.5766081871345029,0.05296574770258966,0.067251461988304
Bundle branch block,36,0.06741573033707865,0.6770414993306559,0.5276104417670683,0.6384426595269969,-0.14943105756358765,-0.03859883980365908
Burning sensation,40,0.0749063670411985,0.5961538461538461,0.3517206477732794,0.4859817813765182,-0.24443319838056676,-0.11017206477732794
Bursitis,41,0.07677902621722846,0.529955968930886,0.4912679958442587,0.45045267896898034,-0.03868797308662736,-0.0795032899619057
Candida infection,71,0.13295880149812733,0.6703677790283821,0.5133392145529766,0.6030176740790314,-0.15702856447540547,-0.06735010494935068
Cardiac arrest,105,0.19662921348314608,0.5553113553113553,0.5311133311133311,0.5413475413475413,-0.024198024198024193,-0.013963813963814076
Cardiac disorder,213,0.398876404494382,0.5926608456554489,0.4993930352624574,0.5213753967209279,-0.09326781039299148,-0.07128544893452093
Cardiac failure,115,0.2153558052434457,0.5429905572273529,0.47805333610044615,0.48218325204939294,-0.06493722112690675,-0.06080730517795996
Cardiac failure congestive,101,0.1891385767790262,0.6355383806279011,0.5384263599570118,0.6077561566780235,-0.09711202067088931,-0.027782223949877616
Cardiomyopathy,36,0.06741573033707865,0.6420124944221329,0.3941878625613565,0.6212070504239179,-0.2478246318607764,-0.020805443998215045
Cardiovascular disorder,59,0.1104868913857678,0.5349152542372881,0.4630865298840321,0.49116859946476354,-0.07182872435325605,-0.043746654772524596
Cataract,75,0.1404494382022472,0.5936092955700799,0.5165722585330429,0.5305446623093683,-0.07703703703703701,-0.06306463326071166
Cellulitis,66,0.12359550561797752,0.6427738927738927,0.4441530691530692,0.5486920486920487,-0.19862082362082356,-0.09408184408184406
Cerebral haemorrhage,42,0.07865168539325842,0.5269066976384049,0.5459252806813782,0.5435540069686411,0.019018583042973325,0.01664730933023617
Cerebral ischaemia,37,0.06928838951310862,0.6138452335635435,0.43400946217847625,0.5231388329979879,-0.17983577138506723,-0.09070640056555557
Cerebrovascular accident,122,0.22846441947565543,0.6583041540665289,0.5643402833041541,0.5965303199108705,-0.09396387076237478,-0.0617738341556584
Cerebrovascular disorder,28,0.052434456928838954,0.4680265386787126,0.48334274421230944,0.45108695652173914,0.01531620553359686,-0.016939582156973443
Cheilitis,28,0.052434456928838954,0.661420101637493,0.5044466403162056,0.6180124223602484,-0.15697346132128742,-0.04340767927724454
Chest discomfort,49,0.09176029962546817,0.5553124342520513,0.5357037660424995,0.5287187039764358,-0.01960866820955187,-0.026593730275615513
Chest pain,243,0.4550561797752809,0.5845601233153734,0.5273570630577121,0.544369493586752,-0.05720306025766131,-0.04019062972862142
Chills,196,0.36704119850187267,0.6046069315300084,0.552348750150948,0.5761381475667191,-0.052258181379060464,-0.028468783963289335
Cholecystitis,40,0.0749063670411985,0.41310728744939273,0.4858299595141701,0.4229757085020243,0.07272267206477734,0.009868421052631582
Cholelithiasis,45,0.08426966292134831,0.6200863440127243,0.5549193365144285,0.5522835719154737,-0.06516700749829585,-0.06780277209725061
Cholestasis,54,0.10112359550561797,0.5823688271604938,0.5304783950617284,0.5673996913580248,-0.051890432098765316,-0.014969135802468947
Coagulopathy,41,0.07677902621722846,0.5697323504675209,0.5431158165537031,0.5819027358630583,-0.026616533913817797,0.012170385395537386
Cognitive disorder,28,0.052434456928838954,0.641304347826087,0.5982495765104461,0.629305477131564,-0.04305477131564095,-0.01199887069452299
Colitis,78,0.14606741573033707,0.5257816014394961,0.4719410706252811,0.4731781376518218,-0.053840530814215026,-0.05260346378767433
Coma,71,0.13295880149812733,0.5444589784929882,0.4545979983573145,0.4761050101907341,-0.08986098013567367,-0.0683539683022541
Completed suicide,46,0.08614232209737828,0.6801496792587314,0.527931218816821,0.6378296507483964,-0.15221846044191034,-0.042320028510335006
Confusional state,240,0.449438202247191,0.5813066893424036,0.5640022675736962,0.5755243764172335,-0.01730442176870739,-0.005782312925170063
Conjunctival hyperaemia,27,0.05056179775280899,0.6028197823069618,0.5679742859230039,0.6278033457520636,-0.03484549638395784,0.024983563445101886
Conjunctivitis,155,0.2902621722846442,0.5736658439016087,0.5237552132096348,0.5246063494765512,-0.04991063069197388,-0.049059494425057526
Connective tissue disorder,203,0.3801498127340824,0.5453693093030524,0.5183575670084681,0.5259476433557067,-0.02701174229458425,-0.019421665947345734
Constipation,326,0.6104868913857678,0.651648773006135,0.52886090136857,0.565965667767815,-0.122787871637565,-0.08568310523832001
Contusion,67,0.1254681647940075,0.5278532391575314,0.4800728690594138,0.5056729201955958,-0.04778037009811753,-0.022180318961935508
Convulsion,211,0.3951310861423221,0.6047716168033689,0.5025457426672341,0.5217378545331828,-0.10222587413613482,-0.0830337622701861
Coordination abnormal,83,0.15543071161048688,0.6580290118344776,0.5059172387999893,0.5905751609542382,-0.1521117730344883,-0.06745385088023936
