se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain,family
Abdominal discomfort,129,0.2415730337078651,0.5390372284429132,0.549047755766102,0.5532969662168628,0.0100105273231887,0.0142597377739495,other
Abdominal distension,140,0.2621722846441947,0.5288433647570703,0.430638143582306,0.4387055837563452,-0.0982052211747642,-0.090137781000725,other
Abdominal pain,353,0.6610486891385767,0.611052853990265,0.4898502183337768,0.5145790618690622,-0.1212026356564882,-0.0964737921212027,other
Abdominal pain upper,131,0.245318352059925,0.5366052317542098,0.5575928626901293,0.559979542742409,0.0209876309359194,0.0233743109881992,other
Abnormal dreams,93,0.1741573033707865,0.6219247555653085,0.5178114256455271,0.5516787360105333,-0.1041133299197814,-0.0702460195547751,other
Abscess,39,0.0730337078651685,0.5033929033929034,0.4942760942760942,0.519036519036519,-0.0091168091168091,0.0156436156436156,other
Accommodation disorder,43,0.0805243445692883,0.763842182541562,0.6705821058115853,0.7511012172595083,-0.0932600767299767,-0.0127409652820537,other
Acne,68,0.1273408239700374,0.6332365564251451,0.6274930573087603,0.6568732643271901,-0.0057434991163848,0.0236367079020449,other
Acute coronary syndrome,166,0.3108614232209737,0.5958125982189628,0.4606796752226296,0.4849724986904138,-0.1351329229963332,-0.1108400995285489,other
Affect lability,106,0.198501872659176,0.5244225004408394,0.5179642038441192,0.5179862458120261,-0.0064582965967201,-0.0064362546288132,other
Ageusia,69,0.1292134831460674,0.5592021193704222,0.5081813931743806,0.5423718248402681,-0.0510207261960415,-0.016830294530154,other
Aggression,63,0.1179775280898876,0.6362349610757255,0.6101843426684191,0.6501870387220705,-0.0260506184073063,0.0139520776463449,other
Agitation,200,0.3745318352059925,0.6649775449101797,0.5919311377245509,0.6230389221556887,-0.0730464071856288,-0.041938622754491,other
Agranulocytosis,170,0.3183520599250936,0.6904169360051714,0.5982223658694248,0.6466548157724629,-0.0921945701357466,-0.0437621202327085,other
Akathisia,43,0.0805243445692883,0.7977549377160991,0.7516695874579643,0.827357552219012,-0.0460853502581347,0.0296026145029129,on-target/neuro-endocrine
Alanine aminotransferase increased,143,0.2677902621722846,0.6722944574606979,0.5386403877452471,0.5795789887861499,-0.1336540697154508,-0.092715468674548,other
Albuminuria,54,0.1011235955056179,0.6331018518518519,0.5108024691358024,0.5753858024691357,-0.1222993827160494,-0.0577160493827161,other
Alopecia,217,0.4063670411985018,0.5545217985433718,0.4931020948116704,0.5049063076945441,-0.0614197037317013,-0.0496154908488276,other
Altered state of consciousness,34,0.0636704119850187,0.6040588235294118,0.4056470588235294,0.5628823529411764,-0.1984117647058823,-0.0411764705882353,other
Amblyopia,53,0.099250936329588,0.5457576589652061,0.5262621111677716,0.5547012905503471,-0.0194955477974345,0.0089436315851409,other
Amenorrhoea,65,0.1217228464419475,0.6880268984746596,0.6890929965556831,0.7121207151057897,0.0010660980810235,0.02409381663113,other
Amnesia,103,0.1928838951310861,0.5817809114049513,0.4600950600319869,0.5102381006014461,-0.1216858513729642,-0.0715428108035051,other
Amylase increased,36,0.0674157303370786,0.6662204373047746,0.5900825524319501,0.6597501115573405,-0.0761378848728245,-0.0064703257474341,other
Anaemia,236,0.4419475655430712,0.6222557160732567,0.5131668752132863,0.5390029575702422,-0.1090888408599703,-0.0832527585030145,other
Anaphylactic shock,233,0.4363295880149813,0.5643420358461779,0.5037428885118276,0.5159910455848175,-0.0605991473343503,-0.0483509902613604,other
Anaphylactoid reaction,84,0.1573033707865168,0.583968253968254,0.5765873015873016,0.5906349206349206,-0.0073809523809523,0.0066666666666665,other
