se,struct_s1,expr_s1,struct_s2,expr_s2,adv,struct,expr,bin
Abdominal discomfort,0.5217341372380132,0.5710785721121638,0.5290458417073404,0.5183845344052063,0.019341563786008265,0.5253899894726768,0.544731553258685,0.50-0.55
Abdominal distension,0.5432197244379985,0.5154641044234953,0.5700145032632342,0.5126903553299493,-0.04253988397389402,0.5566171138506164,0.5140772298767223,0.55-0.60
Abdominal pain,0.5838980796018343,0.511370572676193,0.6400388148936503,0.4636345139530151,-0.12446590393313825,0.6119684472477422,0.4875025433146041,0.60-0.65
Abdominal pain upper,0.5343511450381679,0.5774060955050859,0.5363400450817344,0.5666092095542969,0.03666205746974027,0.5353455950599512,0.5720076525296914,0.50-0.55
Abnormal dreams,0.6545241752615025,0.4935264428351986,0.6747128959110527,0.5222978080120937,-0.15670641016263145,0.6646185355862776,0.5079121254236462,0.65-0.70
Abscess,0.5573685573685574,0.5513597513597515,0.57000777000777,0.5128205128205128,-0.031598031598031595,0.5636881636881637,0.5320901320901321,0.55-0.60
Accommodation disorder,0.7672997679155023,0.7181831099322692,0.7650262871216785,0.704542225169327,-0.05480035996779231,0.7661630275185904,0.711362667550798,>0.70
Acne,0.6170159050744761,0.6495834385256248,0.6503723807119414,0.6063494067154758,-0.005727720272658443,0.6336941428932088,0.6279664226205504,0.60-0.65
Acute coronary syndrome,0.5952560240963856,0.4958420639078051,0.617699057097957,0.507169984284966,-0.10497151650078576,0.6064775405971713,0.5015060240963856,0.60-0.65
Affect lability,0.5576838300123435,0.4713895256568506,0.5272659143008288,0.5033724210897549,-0.055093898783283385,0.5424748721565862,0.4873809733733028,0.50-0.55
Ageusia,0.5601371357332086,0.5235156615240767,0.5757830762038335,0.5449275362318841,-0.03373850709054066,0.5679601059685211,0.5342215988779804,0.55-0.60
Aggression,0.5822464867050854,0.5558588615913457,0.6155764499713544,0.5502645502645502,-0.045849762410271944,0.59891146833822,0.5530617059279479,0.55-0.60
Agitation,0.6529341317365268,0.5613173652694611,0.673817365269461,0.5726796407185628,-0.09637724550898197,0.6633757485029939,0.5669985029940119,0.65-0.70
Agranulocytosis,0.6838396897220428,0.5801066580478345,0.7164511958629606,0.583726567550097,-0.11822882999353596,0.7001454427925017,0.5819166127989657,>0.70
Akathisia,0.775588499976318,0.7355657651683797,0.7860086202813432,0.7549850802822905,-0.0355231374034955,0.7807985601288305,0.7452754227253351,>0.70
Alanine aminotransferase increased,0.6729919696671615,0.5559351134798705,0.6499204120687496,0.5547904780641354,-0.10609339509595261,0.6614561908679555,0.5553627957720029,0.65-0.70
Albuminuria,0.5905478395061728,0.4951388888888889,0.5904320987654321,0.4964891975308642,-0.09467592592592594,0.5904899691358025,0.49581404320987654,0.55-0.60
Alopecia,0.5580688772914274,0.5641308930206864,0.5551178240707091,0.5395484743200221,-0.004753667010714002,0.5565933506810683,0.5518396836703543,0.55-0.60
Altered state of consciousness,0.6385882352941177,0.4395294117647059,0.6568823529411765,0.4374705882352941,-0.20923529411764707,0.6477352941176471,0.4385,0.60-0.65
Amblyopia,0.4958223826148354,0.5064135252814499,0.5639587337700546,0.5425018632565802,-0.005432863923429926,0.529890558192445,0.5244576942690151,0.50-0.55
Amenorrhoea,0.6861735279645729,0.6838773167131377,0.6715433819911433,0.7154010168935543,0.020780711825487908,0.678858454977858,0.6996391668033459,0.65-0.70
Amnesia,0.5806095555605614,0.4728898700245534,0.5990584101097021,0.4464667853039893,-0.13015565517086036,0.5898339828351318,0.45967832766427136,0.55-0.60
Amylase increased,0.6734716644355199,0.6046965640339134,0.7013052208835341,0.6015171798304328,-0.08428157072735387,0.6873884426595269,0.603106871932173,0.65-0.70
Anaemia,0.6268058241383233,0.5166647707883063,0.6216016380389034,0.5000995336139232,-0.11582157888749861,0.6242037310886134,0.5083821522011147,0.60-0.65
Anaphylactic shock,0.5727403647355738,0.4949025423124634,0.5504398785165329,0.5491138265866282,-0.039581937176507515,0.5615901216260533,0.5220081844495458,0.55-0.60
Anaphylactoid reaction,0.5995502645502645,0.5874074074074074,0.6036243386243386,0.5835185185185185,-0.016124338624338597,0.6015873015873016,0.585462962962963,0.60-0.65
Angina pectoris,0.6520219068613943,0.569406172499311,0.6469413061449436,0.5427631578947368,-0.09339694130614501,0.649481606503169,0.5560846651970239,0.60-0.65
Angioedema,0.5521698327835286,0.4728699806620406,0.5564639972699351,0.4615800250255943,-0.0870919121829144,0.5543169150267319,0.46722500284381746,0.55-0.60
Angiopathy,0.576002944423997,0.5915936694884064,0.5205741626794258,0.5874567537725432,0.04123665807876342,0.5482885535517115,0.5895252116304748,0.50-0.55
Anorectal discomfort,0.5163529411764706,0.5220588235294118,0.5289411764705882,0.5317058823529413,0.004235294117647115,0.5226470588235295,0.5268823529411766,0.50-0.55
Anorectal disorder,0.5402777777777779,0.5040343915343916,0.4864417989417989,0.5087301587301587,-0.006977513227513249,0.5133597883597883,0.5063822751322751,0.50-0.55
Anxiety,0.5450704225352112,0.5332676056338028,0.5755492957746479,0.556830985915493,-0.015260563380281644,0.5603098591549296,0.5450492957746479,0.55-0.60
Apathy,0.578050443081118,0.5465121563281072,0.5375142013178822,0.5351056578050443,-0.01697341513292433,0.5577823221995001,0.5408089070665758,0.55-0.60
Aphasia,0.6015116431473634,0.6107737341080868,0.5633273624885315,0.6461619118353794,0.04604832015378563,0.5824195028179475,0.6284678229717331,0.55-0.60
Aphthous stomatitis,0.6164724164724165,0.532038332038332,0.6241906241906242,0.4715876715876715,-0.1185185185185186,0.6203315203315203,0.5018130018130017,0.60-0.65
Aplastic anaemia,0.6842132083163475,0.6148338768854464,0.7044690175295556,0.6466061964940889,-0.06362107623318386,0.6943411129229515,0.6307200366897676,0.65-0.70
Apnoea,0.5507438016528925,0.488099173553719,0.5860330578512396,0.552892561983471,-0.04789256198347103,0.568388429752066,0.520495867768595,0.55-0.60
Arrhythmia,0.5678389612815843,0.5404387153021033,0.5766661996170193,0.5510718789407314,-0.026497283327884424,0.5722525804493017,0.5457552971214173,0.55-0.60
Arrhythmia supraventricular,0.5311591355599214,0.4617681728880157,0.5218074656188605,0.4488801571709234,-0.07115913555992143,0.526483300589391,0.45532416502946954,0.50-0.55
Arthralgia,0.6147389107243122,0.5422094329028636,0.6068079730488489,0.5224171813587872,-0.07846013475575514,0.6107734418865806,0.5323133071308255,0.60-0.65
Arthritis,0.5778404344193818,0.4987677527151211,0.5689223057644109,0.4714494569757728,-0.08827276524644945,0.5733813700918964,0.48510860484544693,0.55-0.60
Arthropathy,0.5643197289782352,0.5018377065422353,0.6159353127297134,0.525104669372623,-0.07665633289654517,0.5901275208539742,0.5134711879574292,0.55-0.60
Aspartate aminotransferase increased,0.6685045948203844,0.5546644388749653,0.6335839598997494,0.5468857328506452,-0.1002691914972616,0.6510442773600669,0.5507750858628053,0.65-0.70
Asthenia,0.6522231504687646,0.4952380952380952,0.6848602988953867,0.4605216745567623,-0.19066183978464687,0.6685417246820756,0.4778798848974287,0.65-0.70
Asthma,0.5470316727677861,0.5508515040585708,0.5690951774629953,0.5237744707942065,-0.020750437689002088,0.5580634251153906,0.5373129874263887,0.55-0.60
Ataxia,0.665608643558321,0.5497235827044752,0.6879112101402055,0.5631976120908919,-0.12029932945157967,0.6767599268492632,0.5564605973976835,0.65-0.70
Atrial fibrillation,0.6136136136136136,0.5299554874022959,0.6394479585968947,0.5441398845654164,-0.08948310012139798,0.6265307861052541,0.5370476859838562,0.60-0.65
Atrial flutter,0.3908247497991088,0.3825699466725107,0.4367010008035649,0.3652567755131858,-0.03984951420848859,0.4137628753013368,0.37391336109284823,<0.50
Atrioventricular block,0.6878835978835978,0.6185449735449736,0.6727513227513228,0.6257142857142858,-0.058187830687830566,0.6803174603174602,0.6221296296296297,0.65-0.70
Azotaemia,0.5195284872298624,0.5954420432220039,0.4835363457760314,0.5602357563850687,0.0763064833005894,0.5015324165029469,0.5778388998035363,0.50-0.55
Back pain,0.6172091013824885,0.5639256912442396,0.5849798387096774,0.5086261520737327,-0.06481854838709677,0.601094470046083,0.5362759216589862,0.60-0.65
Bacterial infection,0.7604715127701375,0.5489980353634578,0.8061296660117879,0.5284872298624754,-0.24455795677799608,0.7833005893909627,0.5387426326129666,>0.70
Balance disorder,0.5639851130833095,0.3580876037789865,0.5931291153736044,0.3985113083309475,-0.2002576581734899,0.5785571142284569,0.378299456054967,0.55-0.60
Bladder pain,0.544449200913242,0.5530821917808219,0.5655441400304414,0.5114868721461187,-0.02271213850837145,0.5549966704718416,0.5322845319634703,0.55-0.60
Blepharitis,0.5527365491651206,0.4031539888682746,0.5735621521335807,0.4520871985157699,-0.13552875695732844,0.5631493506493507,0.4276205936920222,0.55-0.60
Blindness,0.6002693516321426,0.3874815622394664,0.5905855191432052,0.4199320207785544,-0.1917206438786635,0.5954274353876738,0.4037067915090104,0.55-0.60
Blister,0.4508857325247367,0.5387807213533355,0.3777529524417491,0.5079396744334503,0.10904085541015004,0.41431934248324287,0.5233601978933929,<0.50
Blood alkaline phosphatase increased,0.6518502663622526,0.5028300989345511,0.6429556697108068,0.4514126712328767,-0.17028158295281579,0.6474029680365296,0.47712138508371393,0.60-0.65
Blood bilirubin increased,0.7439271255060728,0.6424032838506524,0.7216599190283401,0.6235098965362124,-0.09983693207377409,0.7327935222672064,0.6329565901934324,>0.70
Blood cholesterol increased,0.5429359327903547,0.5084332713397037,0.5434489835182453,0.4789328544859873,-0.04950939524145448,0.5431924581543,0.4936830629128455,0.50-0.55
Blood creatine phosphokinase increased,0.612286293827876,0.530099971022892,0.5716096783541003,0.5427050130396986,-0.055545494059692835,0.5919479860909882,0.5364024920312953,0.55-0.60
Blood creatinine increased,0.6714965727341964,0.55504569687738,0.6627760853008378,0.5717250571210968,-0.10375095201827866,0.6671363290175171,0.5633853769992384,0.65-0.70
Blood disorder,0.5645442520442521,0.4563492063492063,0.544131794131794,0.4549963924963925,-0.09866522366522365,0.554338023088023,0.45567279942279937,0.55-0.60
Blood glucose increased,0.5386178861788617,0.5969802555168409,0.5333430120015487,0.6226287262872628,0.07382404181184665,0.5359804490902051,0.6098044909020519,0.50-0.55
Blood lactate dehydrogenase increased,0.7324915110356537,0.5446201188455009,0.6621392190152802,0.5715725806451613,-0.13921901528013586,0.6973153650254669,0.5580963497453311,0.65-0.70
Blood potassium decreased,0.758784425451092,0.6366425597194828,0.71246986631602,0.6422675140623859,-0.09617210899262169,0.735627145883556,0.6394550368909344,>0.70
Blood pressure increased,0.6142075517075517,0.5603956228956228,0.6675384800384799,0.5382395382395382,-0.0915554353054353,0.6408730158730158,0.5493175805675805,0.60-0.65
Blood triglycerides increased,0.5344103158504782,0.5762460156476384,0.5027528252680382,0.5496957403651115,0.04438930744711678,0.5185815705592582,0.5629708780063749,0.50-0.55
Blood urea increased,0.6376726417866587,0.5970400448801859,0.615686693559159,0.5807175486869874,-0.03780087088932216,0.6266796676729088,0.5888787967835867,0.60-0.65
Blood uric acid increased,0.6011864597390912,0.4884727845254161,0.6306230319388214,0.5112460638776428,-0.11604532163742687,0.6159047458389564,0.49985942420152946,0.60-0.65
Body temperature decreased,0.7053838848710643,0.322521732778143,0.6989553656220322,0.4285192490320695,-0.326649134341442,0.7021696252465482,0.37552049090510625,>0.70
Body temperature increased,0.6316528454214383,0.5458148684422214,0.6231845904084945,0.5422900852675764,-0.08336624106006751,0.6274187179149664,0.5440524768548989,0.60-0.65
Bone disorder,0.5482696408069543,0.4915860259143841,0.5847793997047729,0.496309660488765,-0.07257667705428902,0.5665245202558635,0.4939478432015746,0.55-0.60
Bone pain,0.6207261960417642,0.4872681938600591,0.6006545114539504,0.5964157706093189,-0.06884837151316828,0.6106903537478573,0.541841982234689,0.60-0.65
Bradycardia,0.611479503249384,0.5606965091859176,0.6279992724025598,0.5507581896052783,-0.06401203843037395,0.6197393878259719,0.555727349395598,0.60-0.65
Breast disorder,0.590625,0.5246180555555555,0.5580208333333334,0.5145833333333334,-0.05472222222222223,0.5743229166666667,0.5196006944444445,0.55-0.60
Breast enlargement,0.6641796999680817,0.6001835301627833,0.689036067666773,0.5847829556335781,-0.08412464091924671,0.6766078838174274,0.5924832428981807,0.65-0.70
Breast feeding,0.437328094302554,0.5157563850687623,0.4779567779960708,0.5565422396856582,0.07850687622789787,0.4576424361493124,0.5361493123772103,<0.50
Breast pain,0.5985039738195419,0.5900264921302789,0.5913978494623655,0.5942340657628176,-0.002820632694405467,0.5949509116409537,0.5921302789465482,0.55-0.60
Breath odour,0.4460932768019382,0.5173379769836463,0.4929588128407026,0.5314960629921259,0.054890975166565686,0.46952604482132043,0.5244170199878861,<0.50
Bronchitis,0.5393009674888869,0.5033905691623813,0.5172491937592609,0.4824718905255818,-0.035343850780092334,0.5282750806240739,0.4929312298439816,0.50-0.55
Bronchospasm,0.5295112781954887,0.5599624060150377,0.5030910609857978,0.527046783625731,0.027203425229741063,0.5163011695906432,0.5435045948203843,0.50-0.55
Bundle branch block,0.6816711289602856,0.499553770638108,0.6340361445783133,0.4918005354752342,-0.1621764837126283,0.6578536367692994,0.49567715305667115,0.65-0.70
Burning sensation,0.6291497975708503,0.3771255060728745,0.6083502024291498,0.385576923076923,-0.23739878542510134,0.6187500000000001,0.38135121457489873,0.60-0.65
Bursitis,0.5143719388512343,0.5223865828921981,0.5550883095037847,0.5404442685400485,-0.0033146984613862673,0.5347301241775095,0.5314154257161232,0.50-0.55
Candida infection,0.6683904724241778,0.4533507741915857,0.6586256198095702,0.5511209807440758,-0.16127216864904328,0.6635080461168741,0.5022358774678307,0.65-0.70
Cardiac arrest,0.5843045843045844,0.5188811188811189,0.55007215007215,0.5502941502941503,-0.03260073260073265,0.5671883671883673,0.5345876345876346,0.55-0.60
Cardiac disorder,0.6291664838459626,0.5543855030494493,0.6261535986427392,0.5487107483948341,-0.0761119155222092,0.6276600412443509,0.5515481257221417,0.60-0.65
Cardiac failure,0.5511258690463837,0.4959634741102003,0.553076683615233,0.4685067967209713,-0.06986614091522256,0.5521012763308084,0.4822351354155858,0.55-0.60
Cardiac failure congestive,0.597329247936341,0.563533258637642,0.627695333043697,0.5817346168797017,-0.0398783527313471,0.612512290490019,0.5726339377586719,0.60-0.65
Cardiomyopathy,0.624665327978581,0.44818161535029,0.6609772423025435,0.4536479250334672,-0.19190651494868366,0.6428212851405622,0.4509147701918786,0.60-0.65
Cardiovascular disorder,0.5460838537020517,0.4501694915254237,0.5114005352363961,0.4857091882247993,-0.06080285459411239,0.5287421944692239,0.4679393398751115,0.50-0.55
Cataract,0.6148438634713145,0.5287726942628903,0.6115613652868555,0.5416122004357298,-0.07801016702977492,0.613202614379085,0.53519244734931,0.60-0.65
Cellulitis,0.6527454027454028,0.4211344211344211,0.5573038073038074,0.4977337477337477,-0.1455905205905207,0.6050246050246051,0.4594340844340844,0.60-0.65
Cerebral haemorrhage,0.531262098335269,0.5875435540069687,0.5452477739063104,0.564847077042199,0.03794037940379413,0.5382549361207898,0.5761953155245838,0.50-0.55
Cerebral ischaemia,0.6110718364239491,0.4709337103703301,0.6050356191201262,0.4392299744412421,-0.15297188536625153,0.6080537277720377,0.4550818424057861,0.60-0.65
