se,struct_s1,expr_s1,struct_s2,expr_s2
Abdominal discomfort,0.5217341372380132,0.5710785721121638,0.5290458417073404,0.5183845344052063
Abdominal distension,0.5432197244379985,0.5154641044234953,0.5700145032632342,0.5126903553299493
Abdominal pain,0.5838980796018343,0.511370572676193,0.6400388148936503,0.46363451395301514
Abdominal pain upper,0.5343511450381679,0.5774060955050859,0.5363400450817344,0.5666092095542969
Abnormal dreams,0.6545241752615025,0.49352644283519864,0.6747128959110527,0.5222978080120937
Abscess,0.5573685573685574,0.5513597513597515,0.57000777000777,0.5128205128205128
Accommodation disorder,0.7672997679155023,0.7181831099322692,0.7650262871216785,0.704542225169327
Acne,0.6170159050744761,0.6495834385256248,0.6503723807119414,0.6063494067154758
Acute coronary syndrome,0.5952560240963856,0.49584206390780516,0.617699057097957,0.507169984284966
Affect lability,0.5576838300123435,0.4713895256568506,0.5272659143008288,0.5033724210897549
Ageusia,0.5601371357332086,0.5235156615240767,0.5757830762038335,0.5449275362318841
Aggression,0.5822464867050854,0.5558588615913457,0.6155764499713544,0.5502645502645502
Agitation,0.6529341317365268,0.5613173652694611,0.673817365269461,0.5726796407185628
Agranulocytosis,0.6838396897220428,0.5801066580478345,0.7164511958629606,0.583726567550097
Akathisia,0.775588499976318,0.7355657651683797,0.7860086202813432,0.7549850802822905
Alanine aminotransferase increased,0.6729919696671615,0.5559351134798705,0.6499204120687496,0.5547904780641354
Albuminuria,0.5905478395061728,0.4951388888888889,0.5904320987654321,0.4964891975308642
Alopecia,0.5580688772914274,0.5641308930206864,0.5551178240707091,0.5395484743200221
Altered state of consciousness,0.6385882352941177,0.43952941176470595,0.6568823529411765,0.4374705882352941
Amblyopia,0.4958223826148354,0.5064135252814499,0.5639587337700546,0.5425018632565802
Amenorrhoea,0.6861735279645729,0.6838773167131377,0.6715433819911433,0.7154010168935543
Amnesia,0.5806095555605614,0.47288987002455346,0.5990584101097021,0.44646678530398937
Amylase increased,0.6734716644355199,0.6046965640339134,0.7013052208835341,0.6015171798304328
Anaemia,0.6268058241383233,0.5166647707883063,0.6216016380389034,0.5000995336139232
Anaphylactic shock,0.5727403647355738,0.49490254231246344,0.5504398785165329,0.5491138265866282
Anaphylactoid reaction,0.5995502645502645,0.5874074074074074,0.6036243386243386,0.5835185185185185
Angina pectoris,0.6520219068613943,0.569406172499311,0.6469413061449436,0.5427631578947368
Angioedema,0.5521698327835286,0.47286998066204067,0.5564639972699351,0.46158002502559436
Angiopathy,0.576002944423997,0.5915936694884064,0.5205741626794258,0.5874567537725432
Anorectal discomfort,0.5163529411764706,0.5220588235294118,0.5289411764705882,0.5317058823529413
Anorectal disorder,0.5402777777777779,0.5040343915343916,0.4864417989417989,0.5087301587301587
Anxiety,0.5450704225352112,0.5332676056338028,0.5755492957746479,0.556830985915493
Apathy,0.578050443081118,0.5465121563281072,0.5375142013178822,0.5351056578050443
Aphasia,0.6015116431473634,0.6107737341080868,0.5633273624885315,0.6461619118353794
Aphthous stomatitis,0.6164724164724165,0.532038332038332,0.6241906241906242,0.47158767158767156
Aplastic anaemia,0.6842132083163475,0.6148338768854464,0.7044690175295556,0.6466061964940889
Apnoea,0.5507438016528925,0.488099173553719,0.5860330578512396,0.552892561983471
Arrhythmia,0.5678389612815843,0.5404387153021033,0.5766661996170193,0.5510718789407314
Arrhythmia supraventricular,0.5311591355599214,0.46176817288801575,0.5218074656188605,0.4488801571709234
Arthralgia,0.6147389107243122,0.5422094329028636,0.6068079730488489,0.5224171813587872
Arthritis,0.5778404344193818,0.49876775271512114,0.5689223057644109,0.4714494569757728
Arthropathy,0.5643197289782352,0.5018377065422353,0.6159353127297134,0.525104669372623
Aspartate aminotransferase increased,0.6685045948203844,0.5546644388749653,0.6335839598997494,0.5468857328506452
Asthenia,0.6522231504687646,0.4952380952380952,0.6848602988953867,0.4605216745567623
Asthma,0.5470316727677861,0.5508515040585708,0.5690951774629953,0.5237744707942065
Ataxia,0.665608643558321,0.5497235827044752,0.6879112101402055,0.5631976120908919
