se,struct_s1,expr_s1,struct_s2,expr_s2,adv1,adv2,adv_mean,expr_mean,struct_mean
Azotaemia,0.5195284872298624,0.5954420432220039,0.4835363457760314,0.5602357563850687,0.07591355599214145,0.07669941060903734,0.0763064833005894,0.5778388998035363,0.5015324165029469
Blister,0.4508857325247367,0.5387807213533355,0.3777529524417491,0.5079396744334503,0.08789498882859886,0.13018672199170123,0.10904085541015004,0.5233601978933929,0.41431934248324287
Blood glucose increased,0.5386178861788617,0.5969802555168409,0.5333430120015487,0.6226287262872628,0.058362369337979114,0.08928571428571419,0.07382404181184665,0.6098044909020519,0.5359804490902051
Breast feeding,0.437328094302554,0.5157563850687623,0.4779567779960708,0.5565422396856582,0.07842829076620833,0.07858546168958741,0.07850687622789787,0.5361493123772103,0.4576424361493124
Cerebrovascular disorder,0.4097967250141163,0.4832721626199887,0.4781197063805759,0.5611942405420666,0.07347543760587238,0.08307453416149069,0.07827498588368154,0.5222332015810276,0.44395821569734606
Cyanosis,0.5497058823529413,0.6161176470588234,0.5527647058823528,0.6217058823529411,0.06641176470588217,0.06894117647058828,0.06767647058823523,0.6189117647058823,0.551235294117647
Dysuria,0.565109476110274,0.615831929793458,0.5305203439411401,0.6097686375321336,0.050722453683184066,0.0792482935909935,0.06498537363708878,0.6128002836627958,0.547814910025707
Eye pruritus,0.573380086200599,0.6253195996785741,0.5194681861348528,0.6828840674994522,0.0519395134779751,0.1634158813645994,0.10767769742128724,0.6541018335890132,0.5464241361677259
Flank pain,0.5254223968565814,0.5820825147347741,0.457524557956778,0.6367779960707268,0.056660117878192695,0.17925343811394884,0.11795677799607077,0.6094302554027504,0.4914734774066797
Generalised oedema,0.4499612853271389,0.5213898567557105,0.4564943863724351,0.5120499419279907,0.07142857142857156,0.05555555555555558,0.06349206349206357,0.5167198993418506,0.453227835849787
Haematocrit decreased,0.6257763975155279,0.6889469226425748,0.6086956521739131,0.6938876341050254,0.0631705251270469,0.08519198193111233,0.07418125352907962,0.6914172783738002,0.6172360248447205
Haemorrhoids,0.5174887448671647,0.5720081135902637,0.4933458665215455,0.5597882550833622,0.05451936872309904,0.06644238856181667,0.06048087864245785,0.5658981843368129,0.5054173056943551
Hepatic necrosis,0.5236549165120594,0.5915584415584416,0.5097866419294991,0.5719851576994435,0.0679035250463822,0.062198515769944396,0.0650510204081633,0.5817717996289425,0.5167207792207793
Lacrimal disorder,0.4136243386243386,0.481547619047619,0.4315476190476191,0.5281746031746032,0.06792328042328039,0.09662698412698406,0.08227513227513222,0.5048611111111111,0.42258597883597887
Memory impairment,0.5589509862522415,0.6176778242677824,0.5116930663478781,0.5916019127316198,0.058726838015540905,0.07990884638374163,0.06931784219964127,0.6046398684997011,0.5353220263000598
Musculoskeletal chest pain,0.3998334342822531,0.4599485160508783,0.4143700787401574,0.534221683827983,0.06011508176862518,0.11985160508782555,0.08998334342822537,0.4970850999394306,0.4071017565112053
Musculoskeletal disorder,0.4329194427619624,0.6652029073288916,0.5408843125378558,0.6327983040581465,0.23228346456692922,0.09191399152029067,0.16209872804360995,0.6490006056935191,0.4869018776499091
Nasopharyngitis,0.4862765896993919,0.5662114295455836,0.4756312389900176,0.5256757524671831,0.07993483984619165,0.05004451347716554,0.0649896766616786,0.5459435910063833,0.48095391434470475
Parosmia,0.4512097622554176,0.52442667788765,0.4463286345466022,0.5160109404586577,0.07321691563223237,0.06968230591205549,0.07144961077214393,0.5202188091731539,0.44876919840100993
Pulmonary fibrosis,0.4627645502645502,0.5907407407407408,0.455952380952381,0.5447089947089947,0.12797619047619058,0.0887566137566137,0.10836640211640214,0.5677248677248677,0.4593584656084656
Sinus congestion,0.4251224459506258,0.5441547518923465,0.4835996635828428,0.5579577499628952,0.1190323059417207,0.07435808638005237,0.09669519616088654,0.5510562509276209,0.4543610547667343
Supraventricular tachycardia,0.5752024291497976,0.6454453441295547,0.5016194331983805,0.5554655870445344,0.0702429149797571,0.05384615384615388,0.06204453441295549,0.6004554655870445,0.538410931174089
Tenderness,0.4419590196164096,0.5684826772685571,0.5091965572982655,0.5628467822971733,0.12652365765214746,0.053650224998907814,0.09008694132552764,0.5656647297828652,0.47557778845733756
