se,struct,expr,set
Abdominal discomfort,0.5390372284429132,0.549047755766102,all
Abdominal distension,0.5288433647570703,0.43063814358230607,all
Abdominal pain,0.611052853990265,0.4898502183337768,all
Abdominal pain upper,0.5366052317542098,0.5575928626901293,all
Abnormal dreams,0.6219247555653085,0.5178114256455271,all
Abscess,0.5033929033929034,0.49427609427609426,all
Accommodation disorder,0.763842182541562,0.6705821058115853,all
Acne,0.6332365564251451,0.6274930573087603,all
Acute coronary syndrome,0.5958125982189628,0.4606796752226296,all
Affect lability,0.5244225004408394,0.5179642038441192,all
Ageusia,0.5592021193704222,0.5081813931743806,all
Aggression,0.6362349610757255,0.6101843426684191,all
Agitation,0.6649775449101797,0.5919311377245509,all
Agranulocytosis,0.6904169360051714,0.5982223658694248,all
Akathisia,0.7977549377160991,0.7516695874579643,all
Alanine aminotransferase increased,0.6722944574606979,0.5386403877452471,all
Albuminuria,0.6331018518518519,0.5108024691358024,all
Alopecia,0.5545217985433718,0.49310209481167044,all
Amblyopia,0.5457576589652061,0.5262621111677716,all
Amenorrhoea,0.6880268984746596,0.6890929965556831,all
Amnesia,0.5817809114049513,0.46009506003198697,all
Anaemia,0.6222557160732567,0.5131668752132863,all
Anaphylactic shock,0.5643420358461779,0.5037428885118276,all
Anaphylactoid reaction,0.583968253968254,0.5765873015873016,all
Angina pectoris,0.6358156516946818,0.5487220997519977,all
Angioedema,0.5571465134796951,0.44333693550221814,all
Angiopathy,0.5366801619433199,0.5833934486566065,all
Anxiety,0.5732112676056338,0.5458732394366197,all
Apathy,0.586821177005226,0.4863440127243808,all
Aphasia,0.588317532439163,0.5535846913364498,all
Aphthous stomatitis,0.618026418026418,0.4306656306656307,all
Aplastic anaemia,0.6894873624133714,0.5954443538524257,all
Apnoea,0.5498347107438017,0.5021900826446282,all
Arrhythmia,0.5502000529322935,0.5595099092366852,all
Arthralgia,0.6137282425603594,0.5341942728804042,all
Arthritis,0.5746449456975773,0.4643692564745196,all
Arthropathy,0.5605803956662085,0.5471891079932245,all
Aspartate aminotransferase increased,0.6655713357467743,0.5417061171447137,all
Asthenia,0.6631021999443052,0.4980042699340945,all
Asthma,0.5623706827948431,0.511658443418749,all
Ataxia,0.6413091459441279,0.5459609442330734,all
Atrial fibrillation,0.5975762997039593,0.5188379869230934,all
Atrioventricular block,0.6694179894179894,0.5948941798941798,all
Back pain,0.6282834101382488,0.5491071428571429,all
Bladder pain,0.5746765601217656,0.536767503805175,all
Blepharitis,0.5532467532467532,0.4508812615955473,all
Blister,0.3688557293329078,0.43628311522502394,all
Blood alkaline phosphatase increased,0.6580336757990869,0.4798087899543379,all
Blood bilirubin increased,0.7347756410256411,0.6489541160593792,all
Blood creatine phosphokinase increased,0.6172124022022603,0.5065198493190379,all
Blood creatinine increased,0.6625095201827875,0.5578065498857578,all
