agg,class,view,full,cold,delta,p
naive_all,class_AED,structure,0.5342592592592593,0.8247407407407407,0.29048148148148134,1.862645149230957e-09
naive_all,class_AED,expression,0.5086296296296295,0.4954074074074074,-0.013222222222222135,0.08586266272843458
naive_all,class_AED,concat,0.5177037037037037,0.7158148148148148,0.19811111111111113,1.1259382846859185e-05
naive_all,class_Statin,structure,0.9727777777777777,0.8881111111111113,-0.08466666666666645,0.007382533811649491
naive_all,class_Statin,expression,0.8865555555555554,0.7072222222222223,-0.17933333333333312,2.0489096641540527e-07
naive_all,class_Statin,concat,0.9537777777777777,0.8442222222222223,-0.1095555555555554,0.016940914378238626
naive_all,class_SSRI,structure,0.7004444444444445,0.9396666666666665,0.239222222222222,4.27320476998797e-06
naive_all,class_SSRI,expression,0.6354444444444446,0.44699999999999995,-0.18844444444444464,2.0489096641540527e-07
naive_all,class_SSRI,concat,0.678111111111111,0.7778888888888889,0.09977777777777785,0.017453668639063835
naive_all,class_NSAID,structure,0.7162222222222222,0.7920740740740742,0.07585185185185195,0.06870630516440936
naive_all,class_NSAID,expression,0.5977037037037036,0.5431851851851852,-0.05451851851851841,0.004246761366136195
naive_all,class_NSAID,concat,0.6783703703703702,0.7046666666666667,0.026296296296296484,0.5237110592628955
naive_all,class_BetaBlocker,structure,0.9162222222222223,0.9781111111111112,0.06188888888888888,5.7353179062087984e-05
naive_all,class_BetaBlocker,expression,0.8705555555555555,0.7662222222222221,-0.10433333333333339,1.732216233144114e-06
naive_all,class_BetaBlocker,concat,0.9161111111111111,0.967111111111111,0.050999999999999934,0.006031000658461759
naive_all,class_Antipsychotic,structure,0.5562222222222223,0.9392222222222221,0.3829999999999998,1.862645149230957e-09
naive_all,class_Antipsychotic,expression,0.47855555555555557,0.4366666666666667,-0.041888888888888864,0.01209351669923487
naive_all,class_Antipsychotic,concat,0.5457777777777776,0.8258888888888889,0.2801111111111113,4.421919584274292e-06
hidose24h,class_AED,structure,0.5342592592592593,0.8247407407407407,0.29048148148148134,1.862645149230957e-09
hidose24h,class_AED,expression,0.5936296296296295,0.6051851851851853,0.011555555555555763,0.3708973559436177
hidose24h,class_AED,concat,0.5473703703703704,0.7177037037037036,0.17033333333333323,1.2367694231923539e-05
hidose24h,class_Statin,structure,0.9727777777777777,0.8881111111111113,-0.08466666666666645,0.007382533811649491
hidose24h,class_Statin,expression,0.8982222222222221,0.753,-0.14522222222222214,1.7311263949197288e-06
hidose24h,class_Statin,concat,0.9484444444444446,0.8373333333333332,-0.1111111111111115,8.291147751986402e-06
hidose24h,class_SSRI,structure,0.7004444444444445,0.9396666666666665,0.239222222222222,4.27320476998797e-06
hidose24h,class_SSRI,expression,0.8825555555555556,0.8170000000000001,-0.06555555555555559,0.00014760816746471443
hidose24h,class_SSRI,concat,0.8088888888888888,0.9001111111111109,0.0912222222222221,0.0004191077170497392
hidose24h,class_NSAID,structure,0.7162222222222222,0.7920740740740742,0.07585185185185195,0.06870630516440936
hidose24h,class_NSAID,expression,0.628074074074074,0.5377037037037037,-0.09037037037037032,0.0008304425229287966
hidose24h,class_NSAID,concat,0.6893333333333334,0.6942222222222223,0.004888888888888943,0.8773930793539173
hidose24h,class_BetaBlocker,structure,0.9162222222222223,0.9781111111111112,0.06188888888888888,5.7353179062087984e-05
hidose24h,class_BetaBlocker,expression,0.8076666666666666,0.6773333333333335,-0.1303333333333332,5.745120044193923e-06
hidose24h,class_BetaBlocker,concat,0.8941111111111112,0.9605555555555557,0.06644444444444453,0.003258828361103375
hidose24h,class_Antipsychotic,structure,0.5562222222222223,0.9392222222222221,0.3829999999999998,1.862645149230957e-09
hidose24h,class_Antipsychotic,expression,0.6106666666666667,0.6607777777777779,0.05011111111111122,0.001321666976509303
hidose24h,class_Antipsychotic,concat,0.5836666666666667,0.8728888888888888,0.28922222222222216,5.745120044193923e-06
