
########## ALL DRUGS (n_drugs=1725) ##########
representation              expr_only   struct  blend50    gain         p
[structure ref]                     -    0.917        -       -         -
prev_best_percell_hidose        0.662    0.917    0.926  +0.008    0.0021
gold_percell                    0.655    0.917    0.904  -0.013    0.0151
gold_hi_percell                 0.616    0.917    0.830  -0.087    0.0000
bestTAS_sig                     0.573    0.917    0.913  -0.005    0.0626
TASweighted_consensus           0.582    0.917    0.909  -0.008    0.0003

########## TRANSCRIPTIONALLY RESPONSIVE ONLY (max TAS>=0.3, Sirci-style) (n_drugs=1240) ##########
representation              expr_only   struct  blend50    gain         p
[structure ref]                     -    0.848        -       -         -
prev_best_percell_hidose        0.592    0.848    0.850  +0.002    0.1379
gold_percell                    0.643    0.848    0.876  +0.028    0.1817
gold_hi_percell                 0.634    0.848    0.825  -0.022    0.1132
bestTAS_sig                     0.559    0.848    0.853  +0.005    0.0913
TASweighted_consensus           0.597    0.848    0.853  +0.005    0.0686
