se,n_pos,struct,naive_mean,blend50_naive_mean,strongest(Wang16),blend50_strongest(Wang16),percell_hidose,blend50_percell_hidose
Cellulitis,66,0.6427738927738927,0.5529655529655529,0.6165501165501166,0.5597319347319347,0.6441012691012691,0.5527389277389277,0.6291440041440042
Pulmonary embolism,83,0.6100766703176341,0.5219725910293057,0.5788475409398124,0.5271551839286192,0.6028103545000401,0.579542115245906,0.6360430636069778
Sepsis,93,0.7029966108307122,0.6557920659303148,0.7164069929046889,0.5866676419671811,0.6833686879769829,0.6146100017067759,0.7010703923146319
Neoplasm,93,0.6121717504205983,0.5091556335795967,0.5982493355765245,0.5100577865554825,0.6119279252919806,0.5417794357886524,0.6229732036183648
Flatulence,221,0.5976175675480317,0.567649227299669,0.596359851387102,0.5302213291313085,0.5760340017058678,0.5493617451895971,0.5931071371778006
Increased appetite,117,0.6531390272397466,0.5256102810059644,0.6167988685974297,0.5243804956035172,0.6321301932812724,0.5894361433929779,0.6663182274693066
Influenza,154,0.5321086807928912,0.4225563909774436,0.4557245386192754,0.42053998632946,0.46208133971291865,0.46994190020505816,0.501161995898838
Weight decreased,161,0.5545101826719732,0.5275340116230662,0.5362429853629295,0.5473165370589312,0.5655171265382246,0.5681481358133649,0.5636354553477763
Neuropathy peripheral,168,0.5798855061150143,0.5465781941191777,0.5825526932084308,0.5641751236013531,0.5979865990111892,0.5840326567785584,0.6090294041113713
Vasculitis,86,0.559359426910299,0.5345203488372092,0.5599823504983389,0.5206343438538206,0.5472383720930232,0.5054246262458472,0.5371158637873754
Acne,68,0.6332365564251451,0.6036985609694522,0.6715475889926786,0.6044875031557688,0.6681393587477908,0.5883615248674577,0.6656778591264833
Galactorrhoea,54,0.8187114197530864,0.5347222222222222,0.788233024691358,0.5543981481481481,0.7864583333333333,0.6978009259259259,0.812962962962963
Tremor,216,0.6666666666666666,0.5632716049382716,0.6531271837875612,0.5368477754484045,0.6411454693687397,0.5592825529932448,0.6558933146983461
Hepatic failure,129,0.5820652694037707,0.47468657287778737,0.5391137907933774,0.5250645994832042,0.5700449803808977,0.5047181548473538,0.5713465403387884
Drug interaction,73,0.5547202329658575,0.5474400499212551,0.5786705494309571,0.4070662348081895,0.4806109410750899,0.4697946691231094,0.5228657177666182
Endocrine disorder,66,0.522015022015022,0.481999481999482,0.5123025123025122,0.5239251489251489,0.5407601657601658,0.5728438228438228,0.5485949235949236
Disturbance in attention,71,0.46448453137833473,0.4597085754266419,0.44872691874790865,0.4483010373254646,0.44328172056094667,0.42213974994676484,0.4186110181608006
Affect lability,106,0.5244225004408394,0.46903103509081295,0.49056603773584906,0.48968435901957325,0.5176115323576089,0.4444762828425322,0.48763445600423205
Lacrimation increased,63,0.6181377009402488,0.4486233276042193,0.5465574764937823,0.5676540963165166,0.6383918039968994,0.5191588312607421,0.5814039699390019
Protein urine present,73,0.6186372685941819,0.5233114432591448,0.5820283481413246,0.5122574510444834,0.5896948266127834,0.5135649124892282,0.5891896710545865
Pancreatitis,164,0.621044825313118,0.5111074489123271,0.5735662491760052,0.5172709294660514,0.5914469347396176,0.5450395517468687,0.6125741595253791
Hyperkinesia,73,0.6574153864440019,0.5605740944343743,0.6505809288919265,0.5233411582919799,0.6305827117938964,0.5472914747570796,0.6660327459661843
Tachycardia,248,0.6808171667042635,0.5305662079855629,0.6256062485901195,0.5353316038799909,0.6352216332055043,0.6078981502368599,0.684863523573201
Memory impairment,56,0.5045203227734609,0.5327630005977286,0.5286909742976688,0.5299051105797967,0.503362223550508,0.571652719665272,0.5405708308427974
Anaphylactoid reaction,84,0.583968253968254,0.5162433862433863,0.5976455026455026,0.47605820105820107,0.5617989417989417,0.5164021164021164,0.5923015873015873
Tubulointerstitial nephritis,56,0.7157426778242677,0.48423490735206215,0.6703900179318589,0.44343992827256423,0.6551105797967722,0.5646667662881052,0.6989689181111776
Alanine aminotransferase increased,143,0.6722944574606979,0.5774327973816465,0.6501886859943126,0.5217927852198952,0.6400658165364048,0.6153846153846154,0.6871031781517716
Dry eye,89,0.5668476202499685,0.5815932331776291,0.6060345915919706,0.4717333669991163,0.5470521398813281,0.5141017548289357,0.5568741320540336
Thinking abnormal,62,0.6036085292509569,0.5633542919628213,0.6176530891197376,0.5150355385456533,0.5829346637506835,0.552145981410607,0.6158419901585567
Mental disorder,231,0.5795722429385797,0.5632420384895632,0.5789007472175789,0.5075221807895075,0.5489691826325489,0.5345820296315347,0.566956695669567
Herpes zoster,64,0.6195811170212766,0.523936170212766,0.5878324468085108,0.5589095744680852,0.615591755319149,0.5405252659574469,0.6161569148936171
Cerebrovascular accident,122,0.6583041540665289,0.473917714467611,0.5971669584593347,0.5523436256565335,0.6449745344580615,0.4353016075123348,0.5882739137354768
Disturbance in sexual arousal,120,0.6257648953301127,0.5322463768115941,0.5955917874396135,0.6244565217391305,0.6651972624798711,0.5655998389694041,0.6328099838969404
Eosinophilia,139,0.5981604589745925,0.566396503050724,0.6171933339404426,0.5640469902558966,0.6221109188598488,0.5451233949549221,0.6139331572716511
Dysuria,145,0.5673610495523447,0.578264338267884,0.600372307419555,0.5436929350234908,0.583423455367432,0.5660845669710132,0.589008066660757
Diabetes mellitus,110,0.6168739279588337,0.5005789022298457,0.5546955403087478,0.4734991423670669,0.5500428816466552,0.5293739279588336,0.6055531732418525
Neuritis,55,0.5934332890491554,0.5935281837160751,0.6406908331751755,0.5516416777377111,0.6241791611311445,0.5449990510533307,0.6233440880622508
Mouth ulceration,91,0.5122665145238509,0.5460521419889366,0.5757447969637587,0.5069580532334482,0.5270260213826805,0.5045766874209312,0.5298042814972838
Hyponatraemia,128,0.6617341440886699,0.5130272475369458,0.6301377770935961,0.5068696120689655,0.6243072660098523,0.5102947967980296,0.6344096366995075
Suicidal ideation,59,0.6920249776984836,0.49111507582515607,0.6695450490633362,0.5216770740410348,0.6713648528099911,0.46201605709188226,0.6809277430865299
