se,n_pos,struct,expr_mean,expr_rich,blend_nested
Cellulitis,66,0.6427738927738927,0.5529655529655529,0.5511849261849262,0.603017353017353
Pulmonary embolism,83,0.6100766703176341,0.5219725910293057,0.5824539844522214,0.5668260625651164
Sepsis,93,0.7029966108307122,0.6557920659303148,0.6464291809913931,0.700753419647429
Neoplasm,93,0.6121717504205983,0.5091556335795967,0.5450223099992686,0.5777436422597713
Flatulence,221,0.5976175675480317,0.567649227299669,0.5522385902013791,0.5923409422751652
Increased appetite,117,0.6531390272397466,0.5256102810059644,0.4973252167496772,0.5954415954415955
Influenza,154,0.5321086807928912,0.4225563909774436,0.4485475051264525,0.5282638414217362
Weight decreased,161,0.5545101826719732,0.5275340116230662,0.5347443091935458,0.5140958819709257
Neuropathy peripheral,168,0.5798855061150143,0.5465781941191777,0.5501561280249805,0.5796903460837887
Vasculitis,86,0.559359426910299,0.5345203488372092,0.5211794019933556,0.5552585132890365
Acne,68,0.6332365564251451,0.6036985609694522,0.5759909113860138,0.6508457460237314
Galactorrhoea,54,0.8187114197530864,0.5347222222222222,0.5790509259259259,0.8201003086419754
Tremor,216,0.6666666666666666,0.5632716049382716,0.5457867458653622,0.6596494293035173
Hepatic failure,129,0.5820652694037707,0.47468657287778737,0.47095415829265963,0.5820652694037707
Drug interaction,73,0.5547202329658575,0.5474400499212551,0.5666656761655722,0.5357323269842214
Endocrine disorder,66,0.522015022015022,0.481999481999482,0.5513791763791763,0.5016187516187516
Disturbance in attention,71,0.46448453137833473,0.4597085754266419,0.5065555318954765,0.4653058741216195
Affect lability,106,0.5244225004408394,0.46903103509081295,0.43975930171045674,0.5117924528301887
Lacrimation increased,63,0.6181377009402488,0.4486233276042193,0.49014255383682137,0.5767869780608634
Protein urine present,73,0.6186372685941819,0.5233114432591448,0.4892877306629424,0.5715389415505304
Pancreatitis,164,0.621044825313118,0.5111074489123271,0.5235497692814766,0.6205009887936717
Hyperkinesia,73,0.6574153864440019,0.5605740944343743,0.5807208866965798,0.6512346596142988
Tachycardia,248,0.6808171667042635,0.5305662079855629,0.5532793819084142,0.6741625310173699
Memory impairment,56,0.5045203227734609,0.5327630005977286,0.5319411237298267,0.5214435146443515
Anaphylactoid reaction,84,0.583968253968254,0.5162433862433863,0.523915343915344,0.5406084656084655
Tubulointerstitial nephritis,56,0.7157426778242677,0.48423490735206215,0.48875523012552297,0.7041990436341901
Alanine aminotransferase increased,143,0.6722944574606979,0.5774327973816465,0.58850356804321,0.660490404735929
Dry eye,89,0.5668476202499685,0.5815932331776291,0.5348567100113621,0.5594748137861382
Thinking abnormal,62,0.6036085292509569,0.5633542919628213,0.5219382176052487,0.6026175505740842
Mental disorder,231,0.5795722429385797,0.5632420384895632,0.5744288714585744,0.5825153943965825
Herpes zoster,64,0.6195811170212766,0.523936170212766,0.5144281914893617,0.6207779255319149
Cerebrovascular accident,122,0.6583041540665289,0.473917714467611,0.45744469202610216,0.6059605284099951
Disturbance in sexual arousal,120,0.6257648953301127,0.5322463768115941,0.5530998389694042,0.5919484702093398
Eosinophilia,139,0.5981604589745925,0.566396503050724,0.5882706493033422,0.5996175211729351
Dysuria,145,0.5673610495523447,0.578264338267884,0.5391366013651271,0.5877493130041662
Diabetes mellitus,110,0.6168739279588337,0.5005789022298457,0.5262006861063465,0.6010077186963979
Neuritis,55,0.5934332890491554,0.5935281837160751,0.5910039855760106,0.5642816473714176
Mouth ulceration,91,0.5122665145238509,0.5460521419889366,0.563366655917446,0.5325329298241261
Hyponatraemia,128,0.6617341440886699,0.5130272475369458,0.5416410098522167,0.628290486453202
Suicidal ideation,59,0.6920249776984836,0.49111507582515607,0.519964317573595,0.6899553969669938
Haemoglobin,168,0.6192753057507155,0.5139864689045016,0.5124902419984387,0.6182181889149102
Albuminuria,54,0.6331018518518519,0.579128086419753,0.5325617283950618,0.6152777777777778
Arthropathy,67,0.5605803956662085,0.5581514270190802,0.45348205439611367,0.5279810796126434
Hypercholesterolaemia,82,0.6248650982085042,0.5544733434060004,0.5166468810705807,0.5604090222318153
Wheezing,66,0.5237308987308987,0.45150220150220155,0.5253496503496503,0.4928774928774929
Pharyngitis,176,0.5880840528186897,0.52207656170645,0.5132998984255968,0.5646743270695784
Asthma,122,0.5623706827948431,0.4935938246060799,0.4712915804551966,0.5097883176826357
Urinary tract disorder,193,0.6469998328597693,0.5489948794311154,0.5799766003677085,0.6415753726467415
Erythema,204,0.5345068330362448,0.4994949494949495,0.5043820558526441,0.5405971479500892
Glaucoma,56,0.635011954572624,0.5938807531380753,0.6077032277346085,0.5961969515839809
Depressed level of consciousness,72,0.5963804713804713,0.5597643097643098,0.5354737854737854,0.5887445887445888
Nephrolithiasis,63,0.6282816028038958,0.5698783405789776,0.5146766420651772,0.5914804704613621
Ventricular extrasystoles,73,0.5532641963569369,0.4921998038807833,0.4537485513921493,0.523370873324815
Vaginal inflammation,72,0.5825817700817701,0.5084175084175083,0.525974025974026,0.5160834535834535
Gastritis,137,0.5785544871205575,0.5484197172222325,0.518321719465333,0.5614370552869147
Ventricular arrhythmia,56,0.610393006575015,0.5017931858936043,0.4769127316198446,0.5651897788404064
Immune system disorder,202,0.4881307407849219,0.5093194560419897,0.4845520696647978,0.49267863533341283
Confusional state,240,0.5813066893424036,0.5737386621315194,0.5442460317460317,0.5738236961451247
Cystitis noninfective,88,0.5745006114961272,0.4501121076233184,0.49024154097024053,0.5169690175295557
Osteoarthritis,115,0.5575801598007679,0.5573311196430424,0.537428660371485,0.5427415170696275
