se,n_pos,struct,expr,best_blend,best_w
Palpitations,233,0.6727075699028988,0.5750360030228281,0.6814481057419475,0.8
Hallucination,163,0.6700841697947844,0.542225455988623,0.6727961238900004,0.9
Cerebrovascular accident,122,0.6628402037243355,0.45463950342193216,0.6628402037243355,1.0
Renal failure,152,0.6553630476715349,0.505769495728851,0.6553630476715349,1.0
Gynaecomastia,108,0.6470613806294557,0.503434185359068,0.6488002086593636,0.9
Petechiae,59,0.6444959857270295,0.49837644959857275,0.6444959857270295,1.0
Epistaxis,173,0.6161753638736329,0.5420396137895698,0.6232206619377773,0.7000000000000001
Flushing,181,0.6089399464730096,0.5563676772103361,0.6127275288372749,0.8
Renal impairment,107,0.6126201054958523,0.4533257458031474,0.6126201054958523,1.0
Haemoptysis,58,0.6092799188640975,0.4434946392350044,0.6092799188640975,1.0
Amnesia,103,0.5901831369810555,0.5349717297772171,0.5967607505687834,0.7000000000000001
Hypokalaemia,133,0.5858099113119457,0.576078600491253,0.596084975531097,0.6000000000000001
Neuropathy peripheral,168,0.5811540463179807,0.5483834244080146,0.5932051782461618,0.7000000000000001
Arthritis,114,0.5752923976608187,0.5497493734335839,0.5840852130325814,0.6000000000000001
Chest pain,243,0.5827641310650092,0.5067102230141558,0.5827641310650092,1.0
Vasodilation procedure,62,0.5265513942044833,0.5772621651175506,0.5821828868234007,0.4
Muscle spasms,225,0.5784394102840704,0.5089679971233368,0.5784394102840704,1.0
Thirst,103,0.5742572027121393,0.506701506994346,0.5742572027121393,1.0
Contusion,67,0.5329348972482342,0.5456230624181022,0.5687302246795999,0.5
Migraine,121,0.5548396133912312,0.5266243771636684,0.5659856322414104,0.7000000000000001
Conjunctivitis,155,0.561494595284705,0.4880074899991489,0.561494595284705,1.0
Colitis,78,0.5272154745838956,0.551984930274404,0.5578891138101665,0.30000000000000004
Hepatic enzyme increased,77,0.5419591349569468,0.4879934070306062,0.5419591349569468,1.0
Ventricular fibrillation,62,0.5201612903225806,0.4370899398578458,0.5201612903225806,1.0
Hyperaesthesia,60,0.4659282700421941,0.4535513361462728,0.4797819971870605,0.5
