se,struct,expr,blend
Cellulitis,0.6398338607594937,0.5177347046413502,0.5903876582278481
Pulmonary oedema,0.5735528685361462,0.4980190378183689,0.5321327501929508
Infection,0.6015881708652793,0.5670408908360716,0.5985456979432883
Lacrimation increased,0.5921873951271897,0.6436338009262367,0.6560843009597959
Shock,0.5695099818511796,0.5518148820326679,0.5698427102238355
Ill-defined disorder,0.5184133353912641,0.5366723259762309,0.5487266553480477
Dry eye,0.6032894736842105,0.5992598684210526,0.6411732456140351
Interstitial lung disease,0.5842675159235668,0.6145859872611465,0.637452229299363
Disturbance in attention,0.46164172092086714,0.5077186388348212,0.4803678099201288
Jaundice,0.6016461184121393,0.49605405771575667,0.5782414307004471
Mental disorder,0.6030663879041299,0.5810683877223282,0.618125624943187
Acne,0.7061143984220907,0.6482371794871795,0.7393984220907298
Cataract,0.5247013059183107,0.5799944429008058,0.6023895526535148
Hypertension,0.5857077833409194,0.44192080109239873,0.5103626156880594
Mediastinal disorder,0.6090154715948813,0.5957627891425271,0.6158241891850816
Hiccups,0.5719846969595275,0.513323041814887,0.5564803006913215
Insomnia,0.5613342111037963,0.5523213893852472,0.585441549891846
Hyponatraemia,0.609024674958741,0.5515638207945901,0.6234351728857223
Affect lability,0.5633679354094578,0.5517877739331027,0.5862053056516724
Febrile neutropenia,0.6856635453664838,0.7592024539877301,0.7886664514045851
Tongue disorder,0.6535356796900226,0.5911365837907653,0.6678237003551823
Face oedema,0.5904718085996319,0.5225238413920027,0.5763342814120797
Endocrine disorder,0.4932079414838036,0.5021943573667711,0.48247997213514454
Dysuria,0.603583644278607,0.5498289800995025,0.6040889303482587
Eructation,0.5986857825567504,0.5025388291517323,0.5700716845878137
Angina pectoris,0.5507783265978148,0.5258943271965274,0.5504415506660679
Toxic epidermal necrolysis,0.5723798266351457,0.5119976359338061,0.5603624901497242
Alanine aminotransferase increased,0.6631048749775139,0.5566648677819752,0.6329195898542903
Tachycardia,0.7095547309833025,0.5413729128014843,0.6594310451453309
Oropharyngeal discomfort,0.4485339506172839,0.49529320987654324,0.4608796296296296
Hepatic function abnormal,0.5730811403508772,0.4799342105263158,0.5350877192982456
Visual impairment,0.5724798387096774,0.5332661290322581,0.5556451612903226
Pain in extremity,0.5714348034724949,0.5705623173232124,0.5850892117087642
Eczema,0.4783442982456141,0.5318439327485379,0.5555098684210525
Renal impairment,0.49911463187325256,0.48334109972041006,0.4814072693383038
Fungal infection,0.6069602272727272,0.5931818181818181,0.6167613636363636
Erythema,0.5731188935414286,0.5465518335236645,0.5910100241086157
Liver injury,0.5779829545454545,0.4967329545454545,0.5626420454545454
Disturbance in sexual arousal,0.630500250962021,0.6068470804751547,0.6709051363560314
Influenza like illness,0.5172109443954104,0.5019123271550456,0.5181523977640483
Dysarthria,0.645611156685808,0.5304211101996172,0.6115668580803938
Weight decreased,0.5778597295591216,0.5653177846440082,0.5922455895544703
Urinary retention,0.7449793795947641,0.5197686928456159,0.7067419759727452
Hyperkinesia,0.6886102403343782,0.5255311738070358,0.6521769418321142
Stevens-Johnson syndrome,0.5355170639684446,0.4620133767792831,0.5020408163265306
Pollakiuria,0.695554557700943,0.49683804819637784,0.6208651399491094
Alopecia,0.558746089272992,0.5310844717033733,0.5613480779357557
Aspartate aminotransferase increased,0.6460859152821434,0.5653158209848824,0.6305568028738212
Drug interaction,0.5236304070860887,0.5193836073530304,0.5266031668992295
Wheezing,0.5130878438331854,0.5154540076900325,0.5320171546879621
