class,method,mean,std,count
class_AED,contrastive_classholdout_concat,0.7158148148148148,0.16269172684853442,30
class_AED,contrastive_classholdout_expression,0.4954074074074074,0.0634999712280472,30
class_AED,contrastive_classholdout_structure,0.8247407407407407,0.07260636614451396,30
class_AED,contrastive_debiased_concat,0.523,0.07553478979905373,30
class_AED,contrastive_debiased_expression,0.4887037037037037,0.0627997847930881,30
class_AED,contrastive_debiased_structure,0.5392592592592592,0.07956637126191114,30
class_AED,contrastive_full_concat,0.5177037037037037,0.07467821324088342,30
class_AED,contrastive_full_expression,0.5086296296296297,0.07564153510740171,30
class_AED,contrastive_full_structure,0.5342592592592593,0.08216581027085162,30
class_AED,contrastive_randholdout0_concat,0.5532222222222222,0.06553452267737549,10
class_AED,contrastive_randholdout1_concat,0.5606666666666666,0.05666836114629449,10
class_AED,contrastive_randholdout2_concat,0.5314444444444444,0.08616672835524056,10
class_AED,neighbor_connectivity,0.48933333333333334,0.10475682206685788,10
class_AED,random,0.5146666666666666,0.09146843511709885,10
class_AED,raw_concat_RF,0.4903888888888889,0.07174297306226889,10
class_AED,raw_ecfp4_RF,0.7836666666666667,0.07469746939593322,10
class_AED,raw_expression_RF,0.5057777777777778,0.10219980967396021,10
class_Antipsychotic,contrastive_classholdout_concat,0.8258888888888889,0.1560299689587941,30
class_Antipsychotic,contrastive_classholdout_expression,0.43666666666666665,0.20549351864936405,30
class_Antipsychotic,contrastive_classholdout_structure,0.9392222222222222,0.05383160442284982,30
class_Antipsychotic,contrastive_debiased_concat,0.599111111111111,0.21457064557215558,30
class_Antipsychotic,contrastive_debiased_expression,0.47477777777777774,0.21452376791097735,30
class_Antipsychotic,contrastive_debiased_structure,0.6246666666666667,0.21286514717357102,30
class_Antipsychotic,contrastive_full_concat,0.5457777777777777,0.25762090615846883,30
class_Antipsychotic,contrastive_full_expression,0.47855555555555557,0.231916359829524,30
class_Antipsychotic,contrastive_full_structure,0.5562222222222223,0.2625584895003103,30
class_Antipsychotic,contrastive_randholdout0_concat,0.626,0.3049582039769377,10
class_Antipsychotic,contrastive_randholdout1_concat,0.583,0.2669880008400988,10
class_Antipsychotic,contrastive_randholdout2_concat,0.554,0.25889031950010066,10
class_Antipsychotic,neighbor_connectivity,0.569,0.11959860852239806,10
class_Antipsychotic,random,0.5003333333333334,0.19870227123159057,10
class_Antipsychotic,raw_concat_RF,0.49400000000000005,0.2342155280510814,10
class_Antipsychotic,raw_ecfp4_RF,0.9676666666666666,0.02739964855140921,10
class_Antipsychotic,raw_expression_RF,0.38566666666666666,0.1693199907254287,10
class_BetaBlocker,contrastive_classholdout_concat,0.967111111111111,0.05300714426896103,30
class_BetaBlocker,contrastive_classholdout_expression,0.7662222222222221,0.12065508718598213,30
class_BetaBlocker,contrastive_classholdout_structure,0.9781111111111112,0.026474643885004454,30
class_BetaBlocker,contrastive_debiased_concat,0.926888888888889,0.10519069832474981,30
class_BetaBlocker,contrastive_debiased_expression,0.8886666666666667,0.12004341487952891,30
class_BetaBlocker,contrastive_debiased_structure,0.9323333333333333,0.09775702932070508,30
class_BetaBlocker,contrastive_full_concat,0.9161111111111111,0.09932370289400849,30
class_BetaBlocker,contrastive_full_expression,0.8705555555555555,0.13055461807766452,30
class_BetaBlocker,contrastive_full_structure,0.9162222222222223,0.08708886259004997,30
class_BetaBlocker,contrastive_randholdout0_concat,0.9243333333333335,0.0820877278387482,10
class_BetaBlocker,contrastive_randholdout1_concat,0.93,0.08964952335086364,10
class_BetaBlocker,contrastive_randholdout2_concat,0.9216666666666666,0.10503673666571482,10
class_BetaBlocker,neighbor_connectivity,0.6996666666666667,0.1442259030518135,10
class_BetaBlocker,random,0.5003333333333334,0.19870227123159057,10
