class,mode,pretrain_seed,view,auroc,auprc
class_AED,positive,0,structure,0.5466666666666666,0.06318171087076965
class_AED,positive,0,expression,0.6222222222222222,0.13039590769853926
class_AED,positive,0,concat,0.5833333333333334,0.07764796835020488
class_AED,positive,1,structure,0.508888888888889,0.04994609627261708
class_AED,positive,1,expression,0.5166666666666666,0.06566858759628305
class_AED,positive,1,concat,0.5133333333333333,0.051545888762018155
class_AED,positive,2,structure,0.4633333333333334,0.04394452280650449
class_AED,positive,2,expression,0.5766666666666667,0.10308961514349296
class_AED,positive,2,concat,0.49111111111111116,0.049947431402035
class_AED,exclude,0,structure,0.6355555555555555,0.06370907644077245
class_AED,exclude,0,expression,0.6911111111111111,0.10128468542842356
class_AED,exclude,0,concat,0.6611111111111111,0.06858653411287306
class_AED,exclude,1,structure,0.4866666666666667,0.047124546733548205
class_AED,exclude,1,expression,0.5244444444444445,0.051078253965057434
class_AED,exclude,1,concat,0.52,0.04888760702215439
class_AED,exclude,2,structure,0.6933333333333334,0.07434062763067684
class_AED,exclude,2,expression,0.5144444444444445,0.0928328958736921
class_AED,exclude,2,concat,0.6688888888888889,0.06956499410693955
class_Statin,positive,0,structure,0.9933333333333334,0.75
class_Statin,positive,0,expression,0.9833333333333334,0.6428571428571428
class_Statin,positive,0,concat,0.9933333333333334,0.75
class_Statin,positive,1,structure,0.9966666666666666,0.8333333333333333
class_Statin,positive,1,expression,1.0,1.0
class_Statin,positive,1,concat,0.9966666666666666,0.8333333333333333
class_Statin,positive,2,structure,0.9966666666666666,0.8333333333333333
class_Statin,positive,2,expression,0.99,0.7
class_Statin,positive,2,concat,0.9966666666666666,0.8333333333333333
class_Statin,exclude,0,structure,0.9933333333333333,0.5833333333333333
class_Statin,exclude,0,expression,0.98,0.625
class_Statin,exclude,0,concat,0.9966666666666666,0.8333333333333333
class_Statin,exclude,1,structure,0.9933333333333333,0.5833333333333333
class_Statin,exclude,1,expression,0.9933333333333334,0.75
class_Statin,exclude,1,concat,0.9966666666666666,0.8333333333333333
class_Statin,exclude,2,structure,0.99,0.5
class_Statin,exclude,2,expression,0.9866666666666667,0.6666666666666666
class_Statin,exclude,2,concat,0.9933333333333334,0.75
class_SSRI,positive,0,structure,0.9066666666666666,0.125
class_SSRI,positive,0,expression,0.75,0.03790375741595254
class_SSRI,positive,0,concat,0.8833333333333333,0.07703081232492998
class_SSRI,positive,1,structure,0.88,0.1
class_SSRI,positive,1,expression,0.7333333333333334,0.03511904761904762
class_SSRI,positive,1,concat,0.8533333333333333,0.06203007518796992
class_SSRI,positive,2,structure,0.9066666666666666,0.125
class_SSRI,positive,2,expression,0.7933333333333333,0.04554079696394687
class_SSRI,positive,2,concat,0.8766666666666666,0.07393483709273183
class_SSRI,exclude,0,structure,0.86,0.08695652173913043
class_SSRI,exclude,0,expression,0.7366666666666667,0.03573573573573574
class_SSRI,exclude,0,concat,0.8266666666666667,0.05309139784946236
class_SSRI,exclude,1,structure,0.86,0.08695652173913043
class_SSRI,exclude,1,expression,0.6333333333333333,0.02620841180163214
class_SSRI,exclude,1,concat,0.8166666666666667,0.05119047619047619
